Ricklefs_lab_ID,lineage,status,elevation,year,location,lon,lat,lineage,sequenced
PNG_10_1131,Pitohui_dicrous,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1132,Pitohui_kirhocephalus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1134,Ailuroedus_buccoides,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1136,Sericornis_spilodera,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1137,Pitohui_dicrous,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_114,Pachycephala_schlegelii,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_1140,Colluricincla_megarhyncha,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1141,Pachycephala_hyperythra,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1142,Colluricincla_megarhyncha,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1143,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1144,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1145,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1146,Monarcha_manadensis,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1147,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1148,Crateroscelis_murina,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1149,Oedistoma_iliolophus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1150,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1151,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1152,Ailuroedus_buccoides,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1153,Ailuroedus_buccoides,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1154,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1156,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1157,Toxorhamphus_novaeguineae,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1159,Xanthotis_flaviventer,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_116,Machaerirhynchus_nigripectus,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_1160,Colluricincla_megarhyncha,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1161,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1163,Toxorhamphus_novaeguineae,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1164,Pachycephala_hyperythra,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1165,Pitohui_kirhocephalus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1166,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1167,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1168,Monarcha_manadensis,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_117,Melanocharis_versteri,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
