Collection,Full_Label,powder_level,Host genus,Host species
JEJ,P116295,low,Schiffornis,turdina
JEJ,P116299,low,Schiffornis,turdina
JEJ,P116302,low,Schiffornis,turdina
JEJ,P116324,low,Platyrinchus,platyrhynchos
JEJ,P116360,med,Thamnomanes,schistogynus
JEJ,P116369,low,Hylophilus,ochraceiceps
JEJ,P116378,low,Thamnomanes,schistogynus
JEJ,P116380,low,Hylophilus,ochraceiceps
JEJ,P116411,med,Corythopis,torquatus
JEJ,P116420,low,Glyphorynchus,spirurus
JEJ,P116425,low,Hylophylax,naevius
JEJ,P116453,low,Microcerculus,marginatus
JEJ,P116467,low,Thamnomanes,schistogynus
JEJ,SP110008,med,Chlorospingus,flavigularis
JEJ,SP110013,low,Chlorospingus,flavigularis
JEJ,SP110022,med,Tangara,arthus
JEJ,SP110023,med,Tangara,arthus
JEJ,SP110040,low,Chlorospingus,flavigularis
JEJ,SP110044,low,Leptopogon,superciliaris
JEJ,SP110059,low,Premnoplex,brunnescens
JEJ,SP110066,low,Chlorospingus,flavigularis
JEJ,SP110070,low,Chlorospingus,flavigularis
JEJ,SP110073,low,Premnoplex,brunnescens
JEJ,SP110074,low,Premnoplex,brunnescens
JEJ,SP110080,low,Rhynchocyclus,fulvipectus
JEJ,SP110084,low,Myioborus,miniatus
JEJ,SP110086,med,Myioborus,miniatus
JEJ,SP110087,low,Myioborus,miniatus
JEJ,SP110095,low,Rhynchocyclus,fulvipectus
JEJ,SP110113,med,Basileuterus,tristriatus
JEJ,SP110108,low,Chlorospingus,opthalmicus
JEJ,SP110154,low,Rhynchocyclus,fulvipectus
JEJ,SP110186,low,Basileuterus,tristriatus
JEJ,SP110098,low,Eutoxeres,condamini
JEJ,SP110188,med,Anabacerthia,striaticollis
JEJ,SP110259,low,Hylophylax,naevius
JEJ,SP110101,low,Chlorospingus,flavigularis
JEJ,SP110340,low,Leptopogon,superciliaris
JEJ,SP110120,med,Chlorospingus,flavigularis
JEJ,SP110130,low,Premnoplex,brunnescens
JEJ,SP110140,low,Premnoplex,brunnescens
JEJ,SP110144,low,Basileuterus,tristriatus
JEJ,P120675,low,Willisornis,poecilinotus
JEJ,P120781,low,Sclerurus,caudacutus
JEJ,P120742,low,Corythopis,torquatus
JEJ,P120770,low,Microcerculus,marginatus
JEJ,P120773,low,Hylophylax,naevius
JEJ,P120684,low,Hylophilus,ochraceiceps
JEJ,P120687,low,Willisornis,poecilinotus
JEJ,P120714,low,Myrmotherula,axillaris
JEJ,P120739,low,Corythopis,torquatus
JEJ,P120788,low,Thamnomanes,ardesiacus
JEJ,P120791,low,Isleria,hauxwelli
JEJ,P120805,low,Corythopis,torquatus
JEJ,P120806,low,Mionectes,olivaceus
JEJ,P120807,low,Isleria,hauxwelli
JEJ,P120818,low,Leptopogon,amaurocephalus
JEJ,P120883,low,Platyrinchus,platyrhynchos
JEJ,P120889,low,Platyrinchus,platyrhynchos
JEJ,P120916,low,Thamnomanes,schistogynus
JEJ,P120921,low,Thamnomanes,schistogynus
JEJ,P120923,low,Thamnomanes,schistogynus
JEJ,P120924,low,Thamnomanes,schistogynus
JEJ,P120933,low,Myrmotherula,axillaris
JEJ,P120956,low,Isleria,hauxwelli
JEJ,P120975,low,Lanio,versicolor
JEJ,P121004,low,Hylophylax,naevius
JEJ,P121007,med,Isleria,hauxwelli
JEJ,P121019,med,Hylophilus,ochraceiceps
JEJ,P121020,med,Hylophilus,ochraceiceps
JEJ,P121052,low,Corythopis,torquatus
JEJ,P121238,low,Glyphorynchus,spirurus
JEJ,P121245,low,Glyphorynchus,spirurus
JEJ,P121250,low,Willisornis,poecilinotus
JEJ,P121252,low,Willisornis,poecilinotus
JEJ,P121255,low,Willisornis,poecilinotus
JEJ,P121258,low,Platyrinchus,platyrhynchos
JEJ,P121259,low,Platyrinchus,platyrhynchos
JEJ,P121262,low,Myrmotherula,axillaris
JEJ,P121271,low,Glyphorynchus,spirurus
JEJ,P121352,low,Thamnomanes,ardesiacus
JEJ,P121357,low,Isleria,hauxwelli
JEJ,P121359,low,Glyphorynchus,spirurus
JEJ,P121446,low,Myiobius,barbatus
JEJ,P121773,low,Myrmotherula,axillaris
JEJ,P121448,low,Willisornis,poecilinotus
JEJ,P121774,low,Myrmotherula,axillaris
JEJ,P121457,low,Sclerurus,caudacutus
JEJ,P121796,low,Isleria,hauxwelli
JEJ,P121797,low,Willisornis,poecilinotus
JEJ,P121499,low,Willisornis,poecilinotus
JEJ,P121800,low,Isleria,hauxwelli
JEJ,P121503,low,Isleria,hauxwelli
JEJ,P121801,low,Isleria,hauxwelli
JEJ,P121505,low,Willisornis,poecilinotus
JEJ,P121511,low,Myiobius,barbatus
JEJ,P121367,low,Sclerurus,caudacutus
JEJ,P121374,low,Microcerculus,marginatus
JEJ,P121400,low,Myrmotherula,axillaris
JEJ,P121409,low,Myiobius,barbatus
JEJ,P121741,low,Isleria,hauxwelli
JEJ,P121757,low,Isleria,hauxwelli
JEJ,P121764,low,Thamnomanes,schistogynus
JEJ,SP121081,low,Tangara,arthus
JEJ,SP121058,low,Pogonotriccus,opthalmicus
JEJ,SP121047,low,Pogonotriccus,opthalmicus
JEJ,SP120911,low,Basileuterus,tristriatus
JEJ,SP120931,low,Basileuterus,tristriatus
JEJ,SP120934,low,Chlorospingus,flavigularis
JEJ,SP120016,low,Premnoplex,brunnescens
JEJ,SP120036,low,Chlorospingus,flavigularis
JEJ,SP120040,low,Chlorospingus,flavigularis
JEJ,SP120068,low,Pogonotriccus,opthalmicus
JEJ,SP120069,low,Anabacerthia,striaticollis
JEJ,SP120072,low,Tangara,arthus
JEJ,SP120074,low,Pogonotriccus,opthalmicus
JEJ,SP120076,low,Basileuterus,tristriatus
JEJ,SP120093,low,Leptopogon,superciliaris
JEJ,SP120101,low,Premnoplex,brunnescens
JEJ,SP120115,low,Rhynchocyclus,fulvipectus
JEJ,SP120630,low,Microcerculus,marginatus
JEJ,SP120636,low,Premnoplex,brunnescens
JEJ,SP120638,low,Premnoplex,brunnescens
JEJ,SP120658,low,Premnoplex,brunnescens
JEJ,SP120662,low,Leptopogon,superciliaris
JEJ,SP120666,low,Tangara,arthus
JEJ,SP120669,low,Premnoplex,brunnescens
JEJ,SP120674,low,Premnoplex,brunnescens
JEJ,SP120767,low,Leptopogon,superciliaris
JEJ,SP120769,low,Premnoplex,brunnescens
JEJ,SP120787,low,Tangara,arthus
JEJ,SP120792,low,Chlorospingus,flavigularis
JEJ,SP120804,low,Premnoplex,brunnescens
JEJ,SP120857,low,Premnoplex,brunnescens
JEJ,SP120861,low,Anabacerthia,striaticollis
JEJ,SP120880,low,Chlorospingus,flavigularis
JEJ,SP120885,low,Chlorospingus,flavigularis
JEJ,SP120889,low,Leptopogon,superciliaris
JEJ,SP120890,low,Premnoplex,brunnescens
JEJ,SP120938,low,Chlorospingus,flavigularis
JEJ,SP120993,low,Chlorospingus,flavigularis
JEJ,SP120998,low,Premnoplex,brunnescens
JEJ,SP121004,low,Premnoplex,brunnescens
JEJ,SP121023,low,Premnoplex,brunnescens
JEJ,SP121029,low,Rhyncgocyclus,fulvipectus
JEJ,SP121038,low,Leptopogon,superciliaris
JEJ,SP121091,low,Leptopogon,superciliaris
JEJ,SP121104,low,Tangara,arthus
JEJ,SP121138,low,Tangara,arthus
JEJ,SP121141,low,Microcerculus,marginatus
JEJ,SP121151,low,Anabacerthia,striaticollis
JUM,V1224,med,Glyphorynchus,spirurus
JUM,V1225,med,Glyphorynchus,spirurus
JEJ,SP121212,low,Basileuterus,tristriatus
JEJ,SP121244,low,Microcerculus,marginatus
JEJ,SP121267,low,Premnoplex,brunnescens
JEJ,SP121269,low,Premnoplex,brunnescens
JEJ,SP121270,low,Premnoplex,brunnescens
JEJ,SP121282,low,Premnoplex,brunnescens
JEJ,SP121308,low,Tangara,arthus
JEJ,SP121322,low,Pogonotriccus,opthalmicus
JEJ,SP121333,low,Pogonotriccus,opthalmicus
JEJ,SP121337,low,Chlorospingus,flavigularis
JEJ,SP121360,low,Myioborus,miniatus
JEJ,SP121362,low,Myioborus,miniatus
JEJ,SP121407,low,Premnoplex,brunnescens
JEJ,SP121412,low,Chlorochrysa,calliparaea
JEJ,SP121418,low,Premnoplex,brunnescens
JEJ,SP121433,low,Basileuterus,tristriatus
JEJ,SP121435,low,Basileuterus,tristriatus
JEJ,TL120016,low,Chlorospingus,ophthalmicus
JEJ,TL120020,low,Anabacerthia,striaticollis
JEJ,TL120033,low,Chlorospingus,ophthalmicus
JEJ,TL120034,low,Chlorospingus,ophthalmicus
JEJ,TL120047,low,Premnoplex,brunnescens
JEJ,TL120052,low,Chlorochrysa,calliparaea
JEJ,TL120054,low,Pyrrhomyias,cinnamomeus
JEJ,TL120058,low,Chlorospingus,ophthalmicus
JEJ,TL120075,low,Anabacerthia,striaticollis
JEJ,TL120082,low,Premnoplex,brunnescens
JEJ,TL120093,low,Chlorochrysa,calliparaea
JEJ,TL120094,low,Basileuterus,tristriatus
JEJ,TL120095,low,Basileuterus,tristriatus
JEJ,TL120104,low,Tangara,arthus
JEJ,TL120109,low,Anabacerthia,striaticollis
JEJ,TL120111,low,Premnoplex,brunnescens
JEJ,TU120029,low,Rhynchocyclus,fulvipectus
JEJ,TU120065,low,Chlorornis,riefferii
JEJ,TU120066,low,Chlorornis,riefferii
JEJ,VC120070,low,Hylophylax,naevius
JEJ,VC120099,low,Hylophylax,naevius
JEJ,W120249,low,Anisognathus,igniventris
JEJ,W120284,low,Anisognathus,igniventris
JEJ,W120291,low,Iridosornis,jelskii
JEJ,W120305,high,Arremon,torquatus
JEJ,W120318,low,Anisognathus,igniventris
JEJ,W120319,low,Anisognathus,igniventris
JEJ,W120330,med,Anisognathus,igniventris
JEJ,W120335,low,Iridosornis,jelskii
JEJ,W120338,med,Iridosornis,jelskii
JEJ,W120412,low,Iridosornis,jelskii
JEJ,W120436,low,Anisognathus,igniventris
JEJ,W120445,med,Anisognathus,igniventris
JEJ,W120455,low,Iridosornis,jelskii
JEJ,W120468,low,Iridosornis,jelskii
JEJ,W120474,med,Iridosornis,jelskii
JEJ,W120523,low,Anisognathus,igniventris
JEJ,W120643,low,Kleinothraupis,atropileus
JEJ,W120645,low,Arremon,torquatus
JEJ,W120646,low,Kleinothraupis,atropileus
JEJ,W120676,med,Iridosornis,jelskii
JEJ,W120702,med,Anisognathus,igniventris
JEJ,W120703,med,Anisognathus,igniventris
JEJ,W120709,med,Kleinothraupis,atropileus
JEJ,W120719,med,Kleinothraupis,atropileus
JEJ,W120750,med,Chlorornis,riefferii
JEJ,W120696,med,Kleinothraupis,atropileus
JEJ,W120753,med,Kleinothraupis,atropileus
JEJ,W120755,high,Chlorornis,riefferii
JEJ,W120760,med,Kleinothraupis,atropileus
JEJ,W120764,med,Myioborus,melanocephalus
JEJ,W120781,med,Chlorornis,riefferii
JEJ,W120790,low,Myioborus,melanocephalus
JEJ,W120791,high,Chlorornis,riefferii
JEJ,W120878,low,Iridosornis,jelskii
JEJ,W120875,med,Anisognathus,igniventris
JEJ,W120921,med,Kleinothraupis,atropileus
JEJ,W120877,med,Iridosornis,jelskii
JEJ,W120924,med,Kleinothraupis,atropileus
JEJ,W120946,med,Kleinothraupis,atropileus
JEJ,W120986,low,Kleinothraupis,atropileus
JEJ,W120988,med,Kleinothraupis,atropileus
JEJ,W121001,high,Kleinothraupis,atropileus
JEJ,W121016,high,Chlorornis,riefferii
JEJ,W121048,high,Arremon,torquatus
JEJ,W121047,low,Arremon,torquatus
JEJ,W121044,med,Kleinothraupis,atropileus
JEJ,W121090,low,Myioborus,melanocephalus
JEJ,W121223,low,Iridosornis,jelskii
JEJ,W121041,med,Mecocerculus,stictopterus
JEJ,W121136,med,Myioborus,melanocephalus
JEJ,W121161,med,Myioborus,melanocephalus
JEJ,P130183,low,Hylophylax,naevius
JEJ,P130157,low,Thamnomanes,ardesiacus
JEJ,P130133,low,Chlorothraupis,carmioli
JEJ,P130050,low,Thamnomanes,ardesiacus
JEJ,P130049,high,Willisornis,poecilinotus
JEJ,P130047,low,Thamnomanes,ardesiacus
JEJ,P130041,low,Platyrinchus,platyrhynchos
JEJ,P130025,low,Myrmotherula,axillaris
JEJ,P130007,low,Willisornis,poecilinotus
JEJ,P130300,low,Corythopis,torquatus
JEJ,P130281,low,Isleria,hauxwelli
JEJ,P130259,low,Myrmotherula,axillaris
JEJ,P130233,low,Lanio,versicolor
JEJ,P130253,low,Hylophylax,naevius
JEJ,P130254,low,Microcerculus,marginatus
JEJ,P130255,low,Microcerculus,marginatus
JEJ,P130187,low,Hylophylax,naevius
JEJ,P130189,low,Hylophylax,naevius
JEJ,P130216,low,Willisornis,poecilinotus
JEJ,P130301,low,Corythopis,torquatus
JEJ,P130303,low,Corythopis,torquatus
JEJ,P130328,low,Corythopis,torquatus
JEJ,P130330,low,Corythopis,torquatus
JEJ,P130352,low,Microcerculus,marginatus
JEJ,P130400,low,Willisornis,poecilinotus
JEJ,P130405,low,Microcerculus,marginatus
JEJ,P130439,low,Isleria,hauxwelli
JEJ,P130442,low,Sclerurus,caudacutus
JEJ,P131053,low,Sclerurus,caudacutus
JEJ,P130628,low,Chlorothraupis,carmioli
JEJ,P131067,high,Sclerurus,caudacutus
JEJ,SP13006,low,Anabacerthia,striaticollis
JEJ,SP130013,low,Chiroxiphia,boliviana
JEJ,W130063,med,Pyrrhomyias,cinnamomeus
JEJ,W130080,low,Kleinothraupis,atropileus
JEJ,W130118,low,Arremon,torquatus
JEJ,W130142,low,Kleinothraupis,atropileus
JEJ,W130143,low,Kleinothraupis,atropileus
JEJ,W130145,low,Kleinothraupis,atropileus
JEJ,W130232,med,Myioborus,melanocephalus
JEJ,W130297,low,Arremon,torquatus
JEJ,W130233,med,Myioborus,melanocephalus
JEJ,W130253,med,Chlorornis,riefferii
JEJ,W130255,low,Chlorornis,riefferii
JEJ,W130256,low,Chlorornis,riefferii
JEJ,W130257,med,Myioborus,melanocephalus
JEJ,W130270,low,Anisognathus,igniventris
JEJ,W130286,med,Kleinothraupis,atropileus
JEJ,W130287,low,Kleinothraupis,atropileus
JUM,V1227,med,Myiothlypis,fulvicauda
JUM,V1229,high,Glyphorynchus,spirurus
JEJ,W130298,med,Arremon,torquatus
JEJ,W130330,high,Chlorornis,riefferii
JEJ,W130349,low,Arremon,torquatus
JEJ,W130351,low,Myioborus,melanocephalus
JEJ,W130353,med,Myioborus,melanocephalus
JEJ,W130360,high,Iridosornis,jelskii
JEJ,W130369,low,Kleinothraupis,atropileus
JEJ,W130370,low,Kleinothraupis,atropileus
JEJ,W130377,med,Arremon,torquatus
JEJ,W130378,med,Arremon,torquatus
JEJ,W130416,med,Myioborus,melanocephalus
JEJ,W130417,high,Kleinothraupis,atropileus
JEJ,W130429,med,Chlorornis,riefferii
JEJ,W130445,med,Anisognathus,igniventris
JEJ,W130453,high,Kleinothraupis,atropileus
JEJ,W130497,med,Kleinothraupis,atropileus
JEJ,W130488,low,Kleinothraupis,atropileus
JEJ,W130560,low,Arremon,torquatus
JEJ,W130561,low,Arremon,torquatus
JEJ,W130572,low,Arremon,torquatus
JEJ,W130633,low,Myioborus,melanocephalus
JEJ,W130637,med,Iridosornis,jelskii
JEJ,W130676,low,Iridosornis,jelskii
JEJ,W130826,low,Kleinothraupis,atropileus
JEJ,W130677,med,Chlorornis,riefferii
JEJ,W130700,med,Chlorornis,riefferii
JEJ,W130753,med,Pyrrhomyias,cinnamomeus
JEJ,P110129,low,Leptopogon,amaurocephalus
JEJ,W130824,med,Kleinothraupis,atropileus
JEJ,P110406,low,Leptopogon,amaurocephalus
JEJ,P115912,low,Leptopogon,amaurocephalus
JEJ,W130897,high,Iridosornis,jelskii
JEJ,W130898,high,Iridosornis,jelskii
JEJ,W130914,high,Iridosornis,jelskii
JEJ,W130920,med,Iridosornis,jelskii
JEJ,W130939,med,Anisognathus,igniventris
JEJ,P130040,low,Glyphorynchus,spirurus
JEJ,P116216,low,Leptopogon,amaurocephalus
JEJ,P116225,low,Leptopogon,amaurocephalus
JEJ,P120659,low,Leptopogon,amaurocephalus
JEJ,P120679,low,Leptopogon,amaurocephalus
JEJ,P120736,low,Leptopogon,amaurocephalus
JEJ,P120812,low,Leptopogon,amaurocephalus
JEJ,P120922,low,Leptopogon,amaurocephalus
JEJ,P121030,low,Leptopogon,amaurocephalus
JEJ,P121118,low,Leptopogon,amaurocephalus
JEJ,P121606,low,Leptopogon,amaurocephalus
JEJ,P121751,low,Leptopogon,amaurocephalus
JEJ,P130161,low,Leptopogon,amaurocephalus
JEJ,P130379,high,Leptopogon,amaurocephalus
JEJ,P110028,low,Pipra,fasciicauda
JEJ,P110034,low,Ceratopipra ,chloromeros
JEJ,P110037,low,Habia,rubica
JEJ,P110041,low,Lepidothrix,coronata
JEJ,P110042,low,Momotus,momota
JEJ,P110043,low,Myrmotherula,longipennis
JEJ,P110049,low,Habia,rubica
JEJ,P110053,low,Ceratopipra ,chloromeros
JEJ,P110055,low,Mionectes,macconnelli
JEJ,P110057,high,Geotrygon,montana
JEJ,P110058,med,Geotrygon,montana
JEJ,P110059,med,Lepidothrix,coronata
JEJ,P110060,med/high,Psarocolius,angustifrons
JEJ,P110063,low,Lepidothrix,coronata
JEJ,P110067,low,Habia,rubica
JEJ,P110068,med,Momotus,momota
JEJ,P110069,low,Habia,rubica
JEJ,P110078,low,Mionectes,olivaceus
JEJ,P110083,low,Myrmoborus,leucophrys
JEJ,P110087,low,Habia,rubica
JEJ,P110090,low/med,Pipra,fasciicauda
JEJ,P110088,med,Terenotriccus,erythrurus
JEJ,P110094,low,Mionectes,olivaceus
JEJ,P110095,low,Ramphotrigon,fuscicauda
JEJ,P110098,low,Pipra,fasciicauda
JEJ,P110100,low,Terenotriccus,erythrurus
JEJ,P110102,low,Myrmoborus,myotherinus
JEJ,P110103,low,Pipra,fasciicauda
JEJ,P110106,low,Geotrygon,montana
JEJ,P110107,low,Geotrygon,montana
JEJ,P110108,low,Laniocera,hypopyrra
JEJ,P110110,low,Ceratopipra ,chloromeros
JEJ,P110111,low,Automolus,ochrolaemus
JEJ,P110114,high,Aulacorhynchus,prasinus
JEJ,P110119,low,Xenops,tenuirostris
JEJ,P110122,med,Ceratopipra ,chloromeros
JEJ,P110124,low,Pipra,fasciicauda
JEJ,P110133,low,Pipra,fasciicauda
JEJ,P110137,med,Tangara,schrankii
JEJ,P110138,low,Mionectes,macconnelli
JEJ,P110142,none,Automolus,ochrolaemus
JEJ,P110144,med,Turdus,albicollis
JEJ,P110156,high,Pteroglossus,azara
JEJ,P110157,low,Pteroglossus,azara
JEJ,P110166,med,Turdus,albicollis
JEJ,P110174,low,Synallaxis,cabanisi
JEJ,P110175,low,Lepidothrix,coronata
JEJ,P110179,low,Mionectes,oleagineus
JEJ,P110185,low,Mionectes,oleagineus
JUM,V1239,high,Cacicus,cela
JUM,V1268,med,Xiphorhynchus,elegans
JUM,V1288,low,Thamnophilus,murinus
JUM,V1247,med,Corythopis,torquatus
JUM,V1235,high,Xiphorhynchus,elegans
JUM,V1244,high,Glyphorynchus,spirurus
JUM,V1264,high,Dendrocincla,fuliginosa
JUM,V1284,med,Glyphorynchus,spirurus
JUM,V1220,med,Dendrocincla,merula
JEJ,P110190,low,Lepidothrix,coronata
JEJ,P110192,low,Mionectes,macconnelli
JEJ,P110193,low,Pipra,fasciicauda
JEJ,P110198,low,Mionectes,oleagineus
JEJ,P110200,high,Oneillornis,salvini
JEJ,P110203,low,Mionectes,oleagineus
JEJ,P110207,high,Pteroglossus,beauharnaisii
JEJ,P110208,med,Pteroglossus,beauharnaisii
JEJ,P110210,low,Ceratopipra ,chloromeros
JEJ,P110222,low,Mionectes,oleagineus
JEJ,P110226,low,Lepidothrix,coronata
JEJ,P110227,low,Platyrinchus,coronatus
JEJ,P110228,low,Pipra,fasciicauda
JEJ,P110232,low,Automolus,ochrolaemus
JEJ,P110243,low,Mionectes,olivaceus
JEJ,P110246,low,Ceratopipra ,chloromeros
JEJ,P110256,low,Oneillornis,salvini
JEJ,P110258,low,Lepidothrix,coronata
JEJ,P110268,low,Platyrinchus,coronatus
JEJ,P110269,low,Lepidothrix,coronata
JEJ,P110273,low,Euphonia,xanthogaster
JEJ,P110275,low,Dendroma,erythroptera
JEJ,P110278,low,Ceratopipra ,chloromeros
JEJ,P110292,med,Xenops,minutus
JEJ,P110293,med,Oneillornis,salvini
JEJ,P110294,low,Terenotriccus,erythrurus
JEJ,P110295,med,Catharus,ustulatus
JEJ,P110296,low,Thamnophilus,schistaceus
JEJ,P110307,low,Myrmoborus,myotherinus
JEJ,P110311,low,Mionectes,oleagineus
JEJ,P110312,low,Mionectes,oleagineus
JEJ,P110317,low,Lepidothrix,coronata
JEJ,P110318,low,Epinecrophylla,leucophthalma
JEJ,P110320,low,Pipra,fasciicauda
JEJ,P110322,med,Pipra,fasciicauda
JEJ,P110323,low,Arremon,taciturnus
JEJ,P110324,low,Pipra,fasciicauda
JEJ,P110325,low,Thamnophilus,schistaceus
JEJ,P110330,low,Campylopterus,largipennis
JEJ,P110331,med,Pipra,fasciicauda
JEJ,P110332,low,Pipra,fasciicauda
JEJ,P110333,high,Lepidothrix,coronata
JEJ,P110334,med,Turdus,albicollis
JEJ,P110338,low,Mionectes,oleagineus
JEJ,P110343,med,Lepidothrix,coronata
JEJ,P110346,med,Arremon,taciturnus
JEJ,P110348,low,Mionectes,oleagineus
JEJ,P110356,low,Ceratopipra ,chloromeros
JEJ,P110357,low,Ceratopipra ,chloromeros
JEJ,P110359,low,Arremon,taciturnus
JEJ,P110360,low,Ceratopipra ,chloromeros
JEJ,P110361,low,Ceratopipra ,chloromeros
JEJ,P110364,high,Aulacorhynchus,prasinus
JEJ,P110367,low,Xenops,minutus
JEJ,P110368,med,Pipra,fasciicauda
JEJ,P110373,low,Tangara,schrankii
JEJ,P110375,low,Mionectes,oleagineus
JEJ,P110376,low,Automolus,subulatus
JEJ,P110386,low,Neoctantes,niger
JEJ,P110392,low,Catharus,ustulatus
JEJ,P110393,low,Pipra,fasciicauda
JEJ,P110396,low,Epinecrophylla,erythrura
JEJ,P110399,low,Mionectes,macconnelli
JEJ,P110402,low,Catharus,ustulatus
JEJ,P110404,low,Mionectes,oleagineus
JEJ,P110405,med,Cyanoloxia,cyanoides
JEJ,P110412,high,Ceratopipra ,chloromeros
JEJ,P110417,low,Geotrygon,montana
JEJ,P110418,low,Thamnophilus,schistaceus
JEJ,P110420,low,Mionectes,macconnelli
JEJ,P110421,med,Trogon,violaceus
JEJ,P110422,low,Lepidothrix,coronata
JEJ,P110424,med,Saltator,maximus
JEJ,P110425,med,Pipra,fasciicauda
JEJ,P115895,med,Mionectes ,olivaceus
JEJ,P115906,high,Mionectes,macconnelli
JEJ,P115910,high,Cyanoloxia,cyanoides
JEJ,P115919,high,Mionectes,olivaceus
JEJ,P115925,med,Phlegopsis,nigromaculata
JEJ,P115929,high,Automolus,melanopezus
JEJ,P115932,high,Mionectes,macconnelli
JEJ,P115935,med,Xenops,minutus
JEJ,P115936,med,Sclerurus,mexicanus
JEJ,P115937,low,Syndactyla ,ucayalae
JEJ,P115940,low,Percnostola,goeldii
JEJ,P115942,low,Thamnophilus,schistaceus
JEJ,P115944,med,Mionectes,macconnelli
JEJ,P115945,low,Thamnophilus,schistaceus
JEJ,P115948,med,Terenotriccus,erythrurus
JEJ,P115950,low,Oneillornis,salvini
JEJ,P115952,low,Pipra,fasciicauda
JEJ,P115955,med,Ceratopipra ,chloromeros
JEJ,P115956,low,Pipra,fasciicauda
JEJ,P115958,low,Mionectes,oleagineus
JEJ,P115959,high,Mionectes,macconnelli
JEJ,P115960,med,Mionectes,macconnelli
JEJ,P115964,high,Pipra,fasciicauda
JEJ,P115984,med,Cyphorhinus,arada
JEJ,P115991,low,Percnostola,goeldii
JEJ,P115993,low,Thamnophilus,schistaceus
JEJ,P115997,low,Ramphastos,tucanus
JEJ,P115999,low,Anabazenops,dorsalis
JEJ,P116004,med,Mionectes,macconnelli
JEJ,P116005,med,Oneillornis,salvini
JEJ,P116007,med,Mionectes,oleagineus
JEJ,P116012,high,Pipra,fasciicauda
JEJ,P116013,low,Lepidothrix,coronata
JEJ,P116014,med,Pipra,fasciicauda
JEJ,P116019,high,Mionectes,macconnelli
JEJ,P116022,med,Pipra,fasciicauda
JEJ,P116030,low,Myrmoborus,myotherinus
JEJ,P116034,high,Dendroma,rufa
JEJ,P116037,low,Epinecrophylla,leucophthalma
JEJ,P116041,low,Arremon,taciturnus
JEJ,P116043,low,Myrmoborus,myotherinus
JEJ,P116048,med,Deconychura,longicauda
JEJ,P116049,med,Piprites,chloris
JEJ,P116051,med,Lepidothrix,coronata
JEJ,P116053,low,Ceratopipra ,chloromeros
JEJ,P116054,med,Ceratopipra ,chloromeros
JEJ,P116057,med,Automolus,infuscatus
JEJ,P116058,med,Habia,rubica
JEJ,P116059,low,Laniocera,hypopyrra
JEJ,P116068,low,Mionectes,olivaceus
JEJ,P116079,low,Oneillornis,salvini
JEJ,P116082,low,Conopophaga,peruviana
JEJ,P116085,low,Habia,rubica
JEJ,P116089,med,Deconychura,longicauda
JEJ,P116092,med,Dichrozona,cincta
JEJ,P116094,med,Mionectes,macconnelli
JEJ,P116096,high,Xenops,minutus
JEJ,P116097,low,Xenops,minutus
JEJ,P116110,med,Mionectes,olivaceus
JEJ,P116120,med,Thamnophilus,schistaceus
JEJ,P116111,low,Pipra,fasciicauda
JEJ,P116112,med,Mionectes,macconnelli
JEJ,P116115,med,Arremon,taciturnus
JEJ,P116116,low,Myrmoborus,lophotes
JEJ,P116121,low,Pipra,fasciicauda
JEJ,P116123,med,Thamnophilus,schistaceus
JEJ,P116131,low,Laniocera,hypopyrra
JEJ,P116142,low,Mionectes,olivaceus
JEJ,P116150,low,Oneillornis,salvini
JEJ,P116151,med,Oneillornis,salvini
JEJ,P116152,high,Oneillornis,salvini
JEJ,P116206,low,Sciaphylax,hemimelaena
JEJ,P116215,high,Oneillornis,salvini
JEJ,P116254,low,Automolus,ochrolaemus
JEJ,P116261,med,Deconychura,longicauda
JEJ,P116276,low,Automolus,ochrolaemus
JEJ,P116287,low,Automolus,ochrolaemus
JEJ,P116303,high,Rhytipterna,simplex
JEJ,P116325,high,Oneillornis,salvini
JEJ,P116336,low,Myrmotherula,longipennis
JEJ,P120612,low,Percnostola,goeldii
JEJ,P120615,low,Arremon,taciturnus
JEJ,P120621,low,Sciaphylax,hemimelaena
JEJ,P120629,low,Percnostola,goeldii
JEJ,P120666,low,Tangara,schrankii
JEJ,P120703,low,Glyphorynchus,spirurus
JEJ,P120676,low,Phlegopsis,nigromaculata
JEJ,P120685,low,Myrmotherula,menetriesii
JEJ,P120695,low,Myrmotherula,longipennis
JEJ,P120711,low,Automolus,ochrolaemus
JEJ,P120712,low,Habia,rubica
JEJ,P120715,low,Automolus,ochrolaemus
JEJ,P120716,low,Pipra,fasciicauda
JEJ,P120713,low,Habia,rubica
JEJ,P120744,low,Terenotriccus,erythrurus
JEJ,P120752,low,Oneillornis,salvini
JEJ,P120769,low,Phlegopsis,nigromaculata
JEJ,P120779,low,Arremon,taciturnus
JEJ,P120795,low,Xiphorhynchus,elegans
JEJ,P120783,low,XIphorhynchus,elegans
JEJ,P120790,none,Arremon,taciturnus
JEJ,P120799,low,Myrmotherula,menetriesii
JEJ,P120800,low,Automolus,ochrolaemus
JEJ,P120814,low,Habia,rubica
JEJ,P120850,low,Thamnophilus,schistaceus
JEJ,P120870,low,Ramphotrigon,fuscicauda
JEJ,P120913,low,Habia,rubica
JEJ,P120920,low,Arremon,taciturnus
JEJ,P120964,low,Oneillornis,salvini
JEJ,P121005,med,Tangara,schrankii
JEJ,P121042,low,Arremon,taciturnus
