Host.Family,BLFamilyLatin,species_clean,species_jetz,Lice.Species,Lice.Species2,Lice.Species3,sociality,foraging_cat,elevation_cat,TipLabel,Full_Label,keycol,valuecol
Trochilidae,Trochilidae,Thalurania furcata,Thalurania furcata,new sp?,,,0,other,lowland_manu,Thalurania_furcata,P116223,Lice.Genus3,
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,lowland_manu,Terenotriccus_erythrurus,P115948,Lice.Genus,Myrsidea
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,lowland_manu,Terenotriccus_erythrurus,P110100,Lice.Genus,Ricinus
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,lowland_iquitos,Terenotriccus_erythrurus,V466,Lice.Genus,Myrsidea
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,other_iquitos,Terenotriccus_erythrurus,4182,Lice.Genus,Myrsidea
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,other_iquitos,Terenotriccus_erythrurus,4281,Lice.Genus,Myrsidea
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,other_iquitos,Terenotriccus_erythrurus,968,Lice.Genus,Myrsidea
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,lowland_manu,Terenotriccus_erythrurus,P115948,Lice.Genus2,
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,lowland_manu,Terenotriccus_erythrurus,P110100,Lice.Genus2,
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,lowland_iquitos,Terenotriccus_erythrurus,V466,Lice.Genus2,
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,other_iquitos,Terenotriccus_erythrurus,4182,Lice.Genus2,
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,other_iquitos,Terenotriccus_erythrurus,4281,Lice.Genus2,
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,other_iquitos,Terenotriccus_erythrurus,968,Lice.Genus2,
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,lowland_manu,Terenotriccus_erythrurus,P115948,Lice.Genus3,
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,lowland_manu,Terenotriccus_erythrurus,P110100,Lice.Genus3,
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,lowland_iquitos,Terenotriccus_erythrurus,V466,Lice.Genus3,
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,other_iquitos,Terenotriccus_erythrurus,4182,Lice.Genus3,
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,other_iquitos,Terenotriccus_erythrurus,4281,Lice.Genus3,
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,new sp?,,,1,midhigh,other_iquitos,Terenotriccus_erythrurus,968,Lice.Genus3,
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,saviti?,,,1,midhigh,lowland_manu,Tangara_schrankii,P110137,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,saviti?,,,1,midhigh,lowland_manu,Tangara_schrankii,P110373,Lice.Genus,Myrsidea
