"","species_jetz","low_limit","high_limit"
"204","Elaenia_parvirostris",1146,1146
"205","Elaenia_spectabilis",387,1449
"206","Elanoides_forficatus",818,818
"207","Electron_platyrhynchum",381,714
"208","Empidonax_alnorum",387,770
"209","Ensifera_ensifera",2650,2650
"210","Entomodestes_leucotis",1134,2816
"211","Epinecrophylla_erythrura",384,877
"212","Epinecrophylla_haematonota",398,398
"213","Epinecrophylla_leucophthalma",385,600
"214","Epinecrophylla_ornata",441,1651
"215","Epinecrophylla_spodionota",823,1501
"216","Eubucco_richardsoni",398,431
"217","Eubucco_tucinkae",392,450
"218","Eubucco_versicolor",1110,1862
"219","Euphonia_chlorotica",397,413
"220","Euphonia_chrysopasta",402,419
"221","Euphonia_laniirostris",397,438
"222","Euphonia_mesochrysa",1095,1735
"223","Euphonia_rufiventris",400,1117
"224","Euphonia_xanthogaster",369,2728
"225","Eurypyga_helias",1134,1134
"226","Eutoxeres_condamini",381,2728
"227","Florisuga_mellivora",381,1573
"228","Formicarius_analis",365,1246
"229","Formicarius_colma",385,599
"230","Formicarius_rufifrons",1279,1584
"231","Formicarius_rufipectus",1139,2012
"232","Frederickena_unduligera",415,439
"233","Furnarius_leucopus",381,1376
"234","Galbula_cyanescens",361,1425
"235","Geothlypis_aequinoctialis",387,387
"236","Geotrygon_frenata",850,3040
"237","Geotrygon_montana",332,1735
"238","Geotrygon_saphirina",2726,2726
"239","Glaucidium_bolivianum",2312,3414
"240","Glaucidium_brasilianum",392,421
"241","Glaucidium_hardyi",381,599
"242","Glaucis_hirsutus",345,508
"243","Glyphorynchus_spirurus",347,1514
"244","Grallaria_albigula",1506,2554
"245","Grallaria_erythroleuca",1758,3049
"246","Grallaria_guatimalensis",1173,1716
"247","Grallaria_rufula",2109,3414
"248","Grallaria_squamigera",2465,3414
"249","Grallaricula_ferrugineipectus",2458,3013
"250","Grallaricula_flavirostris",1449,2728
"251","Gymnoderus_foetidus",404,404
"252","Gymnopithys_salvini",381,853
"253","Habia_rubica",381,680
"254","Haplophaedia_assimilis",1134,2538
"255","Haplophaedia_aureliae",2521,2542
"256","Haplospiza_rustica",1134,2995
"257","Harpyhaliaetus_solitarius",2364,2364
"258","Heliangelus_amethysticollis",2061,3383
"259","Heliodoxa_aurescens",344,1129
"260","Heliodoxa_leadbeateri",1088,2728
"261","Heliodoxa_rubinoides",1954,2324
"262","Heliodoxa_schreibersii",1124,1501
"263","Heliothryx_auritus",397,1129
"264","Hemispingus_atropileus",1950,3032
"265","Hemispingus_frontalis",1871,3235
"266","Hemispingus_melanotis",1134,2816
"267","Hemispingus_parodii",2576,2676
"268","Hemispingus_superciliaris",2324,2993
"269","Hemispingus_trifasciatus",2830,3424
"270","Hemispingus_xanthophthalmus",2520,3013
"271","Hemithraupis_flavicollis",404,826
"272","Hemithraupis_guira",407,1724
"273","Hemitriccus_flammulatus",400,951
"274","Hemitriccus_granadensis",1033,3239
"275","Hemitriccus_griseipectus",385,585
"276","Hemitriccus_iohannis",515,515
"277","Hemitriccus_rufigularis",1090,1173
"278","Henicorhina_leucophrys",1137,2787
"279","Herpetotheres_cachinnans",422,1404
"280","Herpsilochmus_axillaris",969,1578
"281","Herpsilochmus_rufimarginatus",762,1024
"282","Hydropsalis_climacocerca",387,1432
"283","Hylocharis_cyanus",413,417
"284","Hyloctistes_subulatus",381,1129
"285","Hylopezus_berlepschi",406,435
"286","Hylophilus_hypoxanthus",344,1024
"287","Hylophilus_ochraceiceps",355,1139
"288","Hylophilus_thoracicus",419,426
"289","Hylophylax_naevius",343,1339
"290","Hypocnemis_cantator",381,1496
"291","Hypocnemoides_maculicauda",381,407
"292","Ibycter_americanus",398,895
"293","Icterus_cayanensis",404,419
"294","Iridophanes_pulcherrimus",1127,1888
"295","Iridosornis_analis",850,2816
"296","Iridosornis_jelskii",2312,3482
"297","Jacamerops_aureus",418,467
"298","Klais_guimeti",1202,1202
"299","Knipolegus_aterrimus",2685,2937
"300","Knipolegus_signatus",2783,2783
"301","Lafresnaya_lafresnayi",2617,2816
"302","Laniisoma_elegans",410,410
"303","Lanio_versicolor",392,1279
"304","Laniocera_hypopyrra",385,600
"305","Lathrotriccus_euleri",381,1716
"306","Legatus_leucophaius",400,1387
"307","Lepidocolaptes_albolineatus",381,430
"308","Lepidocolaptes_lacrymiger",1131,2831
"309","Lepidothrix_coeruleocapilla",797,1821
"310","Lepidothrix_coronata",363,1362
"311","Leptopogon_amaurocephalus",357,1337
"312","Leptopogon_superciliaris",866,2369
"313","Leptopogon_taczanowskii",2312,2542
"314","Leptosittaca_branickii",2312,2324
"315","Leptotila_rufaxilla",367,1387
"316","Leptotila_verreauxi",407,1336
"317","Lesbia_nuna",1950,2911
"318","Leucippus_chlorocercus",387,387
"319","Leucopternis_kuhli",418,418
"320","Leucopternis_melanops",436,436
"321","Liosceles_thoracicus",399,1117
"322","Lipaugus_vociferans",395,585
"323","Lochmias_nematura",818,2290
"324","Lophostrix_cristata",425,599
"325","Lophotriccus_eulophotes",344,344
"326","Lophotriccus_pileatus",850,1821
"327","Lurocalis_rufiventris",2575,2575
"328","Lurocalis_semitorquatus",599,599
"329","Machaeropterus_pyrocephalus",381,1429
"330","Malacoptila_fulvogularis",1213,2728
"331","Malacoptila_semicincta",385,837
"332","Manacus_manacus",381,956
"333","Margarornis_squamiger",1998,3424
"334","Mecocerculus_leucophrys",1954,3396
"335","Mecocerculus_stictopterus",2292,3383
"336","Megaceryle_torquata",381,431
"337","Megascops_albogularis",2550,2787
"338","Megascops_choliba",430,430
"339","Megascops_ingens",1337,1735
"340","Megascops_watsonii",404,526
"341","Melanerpes_cruentatus",404,1013
"342","Metallura_aeneocauda",2788,2973
"343","Metallura_tyrianthina",2319,3414
"344","Metopothrix_aurantiaca",433,433
"345","Micrastur_buckleyi",429,549
"346","Micrastur_gilvicollis",385,983
"347","Micrastur_mirandollei",430,430
"348","Micrastur_ruficollis",381,2154
"349","Micrastur_semitorquatus",430,430
"350","Microbates_cinereiventris",1210,1210
"351","Microcerculus_marginatus",381,1339
"352","Micromonacha_lanceolata",944,1852
"353","Microrhopias_quixensis",397,1279
"354","Mionectes_macconnelli",378,1514
"355","Mionectes_oleagineus",381,1735
"356","Mionectes_olivaceus",381,1735
"357","Mionectes_striaticollis",714,3377
"358","Mitrephanes_olivaceus",1376,1702
"359","Mitu_tuberosum",409,975
"360","Momotus_aequatorialis",1262,2743
"361","Momotus_momota",381,1758
"362","Monasa_morphoeus",385,599
"363","Monasa_nigrifrons",381,585
"364","Muscisaxicola_fluviatilis",387,387
"365","Myadestes_ralloides",797,3049
"366","Myiarchus_cephalotes",1013,1348
"367","Myiarchus_ferox",387,990
"368","Myiarchus_tuberculifer",520,3239
"369","Myiobius_barbatus",385,646
"370","Myiobius_villosus",853,1735
"371","Myioborus_melanocephalus",1376,3383
"372","Myioborus_miniatus",818,2986
"373","Myiodynastes_chrysocephalus",989,2734
"374","Myiodynastes_maculatus",381,1339
"375","Myiopagis_gaimardii",400,622
"376","Myiophobus_fasciatus",387,1672
"377","Myiophobus_inornatus",956,1998
"378","Myiophobus_ochraceiventris",2324,3215
"379","Myiornis_ecaudatus",400,960
"380","Myiotheretes_fumigatus",2521,2742
"381","Myiotheretes_fuscorufus",2521,2985
"382","Myiotheretes_striaticollis",1059,3032
"383","Myiotriccus_ornatus",818,1202
"384","Myiozetetes_cayanensis",1371,1371
"385","Myiozetetes_granadensis",387,1006
"386","Myiozetetes_similis",1303,1303
"387","Myrmeciza_atrothorax",381,1334
"388","Myrmeciza_fortis",385,1101
"389","Myrmeciza_goeldii",381,1090
"390","Myrmeciza_hemimelaena",381,1395
"391","Myrmoborus_leucophrys",381,1279
"392","Myrmoborus_myotherinus",381,1262
"393","Myrmothera_campanisona",385,1334
"394","Myrmotherula_axillaris",381,1501
"395","Myrmotherula_brachyura",399,1301
"396","Myrmotherula_hauxwelli",376,599
"397","Myrmotherula_iheringi",398,1307
"398","Myrmotherula_longicauda",837,1429
"399","Myrmotherula_longipennis",381,643
"400","Myrmotherula_menetriesii",397,1380
"401","Myrmotherula_multostriata",397,1279
"402","Myrmotherula_schisticolor",989,2578
"403","Myrmotherula_sclateri",419,742
"404","Nannopsittaca_dachilleae",1088,1088
"405","Neoctantes_niger",397,432
"406","Neomorphus_geoffroyi",410,410
"407","Nonnula_ruficapilla",381,956
