Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Genus,Mite.Genus2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P120675,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P120687,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P121505,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P121797,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P130400,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,other_iquitos,Willisornis_poecilinotus,1022,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,other_iquitos,Willisornis_poecilinotus,799,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,other_iquitos,Willisornis_poecilinotus,813,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M582,Mite.Group2,Mesostigmatid
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,other_iquitos,Willisornis_poecilinotus,1025,Mite.Group2,Mesostigmatid
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M600,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V269,Mite.Group2,
