"","X","elevation_cat","sociality","foraging_cat","species_jetz","sample_size","species_clean","mass_tidy","Family","ectoparasites_presence","elevation_midpoint","proportion_ectoparasites","notes","mean_lice"
"97",97,"lowland_manu",1,"midhigh","Myrmotherula_menetriesii",2,"Myrmotherula menetriesii",9.046,"Thamnophilidae",2,423.5,1,"",0
"98",98,"lowland_manu",1,"midhigh","Xiphorhynchus_elegans",3,"Xiphorhynchus elegans",38.50835294,"Furnariidae",2,421,0.666666667,"",0
"99",99,"lowland_manu",0,"understory","Phaethornis_koepckeae",1,"Phaethornis koepckeae",5.275526316,"Trochilidae",1,418,1,"",0
"100",100,"lowland_manu",1,"ground","Myrmeciza_fortis",1,"Hafferia fortis",48.60083333,"Thamnophilidae",1,422.5,1,"",1
"101",101,"lowland_manu",0,"ground","Rhegmatorhina_melanosticta",5,"Rhegmatorhina melanosticta",32.28411765,"Thamnophilidae",5,600,1,"",1.666666667
"102",102,"lowland_manu",0,"other","Thalurania_furcata",1,"Thalurania furcata",4.515660377,"Trochilidae",1,420,1,"",1
"103",103,"lowland_manu",1,"ground-understory","Ancistrops_strigilatus",2,"Ancistrops strigilatus",33.46333333,"Furnariidae",2,476.5,1,"",3
"104",104,"lowland_manu",1,"midhigh","Mionectes_striaticollis",1,"Mionectes striaticollis",14.66976498,"Tyrannidae",1,1573,1,"",0
"105",105,"montane_manu",1,"undersory-midhigh","Malacoptila_fulvogularis",7,"Malacoptila fulvogularis",48.74470588,"Bucconidae",4,1395,0.571428571,"",1
"106",106,"montane_manu",0,"ground-midhigh","Micromonacha_lanceolata",1,"Micromonacha lanceolata",23.34,"Bucconidae
",0,1113.5,0,"",0
"107",107,"montane_manu",1,"understory","Chlorospingus_flavigularis",16,"Chlorospingus flavigularis",25.95577586,"Passerellidae
",15,1362,0.9375,"",10.21428571
"108",108,"montane_manu",1,"midhigh","Tangara_arthus",10,"Tangara arthus",21.19101695,"Thraupidae",10,1308.5,1,"",3.8
"109",109,"montane_manu",1,"midhigh","Leptopogon_superciliaris",8,"Leptopogon superciliaris",13.20830645,"Tyrannidae
",8,1387,1,"",3
"110",110,"montane_manu",1,"understory","Premnoplex_brunnescens",28,"Premnoplex brunnescens",15.77809045,"Furnariidae
",27,1366,0.964285714,"",1.666666667
"111",111,"montane_manu",1,"midhigh","Myioborus_miniatus",5,"Myioborus miniatus",9.782295082,"Parulidae",5,1404,1,"",6
"112",112,"montane_manu",1,"understory","Basileuterus_tristriatus",11,"Basileuterus tristriatus",12.9,"Parulidae",11,1459,1,"",1.888888889
"113",113,"montane_manu",1,"other","Chlorospingus_ophthalmicus",5,"Chlorospingus flavopectus",21.97914286,"Passerellidae
",4,1821,0.8,"",6.333333333
"114",114,"montane_manu",0,"understory","Eutoxeres_condamini",1,"Eutoxeres condamini",9.882727273,"Parulidae",1,1309,1,"",0
"115",115,"montane_manu",1,"midhigh","Anabacerthia_striaticollis",8,"Anabacerthia striaticollis",24.58886525,"Furnariidae",5,1397,0.625,"",4.5
"116",116,"montane_manu",1,"midhigh","Phylloscartes_ophthalmicus",6,"Phylloscartes ophthalmicus",9.276296296,"Tyrannidae
",6,1371,1,"",6.333333333
"117",117,"montane_manu",1,"midhigh-canopy","Chlorochrysa_calliparaea",3,"Chlorochrysa calliparaea",17.34217391,"Thraupidae",3,1387,1,"",2
"118",118,"montane_manu",1,"undersory-midhigh","Chiroxiphia_boliviana",1,"Chiroxiphia boliviana",17.23620087,"",1,1449,1,"",0
"119",119,"montane_manu",1,"midhigh","Myrmotherula_schisticolor",3,"Myrmotherula schisticolor",9.628441558,"Thamnophilidae",3,1487,1,"",0
"120",120,"montane_manu",1,"understory","Basileuterus_coronatus",12,"Myiothlypis coronata",16.03027273,"Parulidae",10,1541,0.833333333,"",4
"121",121,"montane_manu",0,"ground","Cyphorhinus_thoracicus",13,"Cyphorhinus thoracicus",32.136625,"Troglodytidae",13,1348,1,"",1.75
"122",122,"montane_manu",1,"other","Trichothraupis_melanops",8,"Trichothraupis melanops",24.68761468,"Thraupidae",8,1387,1,"",1
"123",123,"montane_manu",1,"understory","Thripadectes_melanorhynchus",14,"Thripadectes melanorhynchus",45.98929688,"Furnariidae",12,1337,0.857142857,"",9
"124",124,"montane_manu",1,"midhigh","Basileuterus_bivittatus",11,"Myiothlypis bivittata",15.17214286,"Parulidae",9,1217,0.818181818,"",5.8
"125",125,"montane_manu",1,"midhigh","Lophotriccus_pileatus",4,"Lophotriccus pileatus",8.351454545,"Tyrannidae",3,1384.5,0.75,"This species has been obserevd in flocks but those flcoks were incomplete, I changed 0 to 1 in sociality",0
"126",126,"montane_manu",1,"midhigh","Myrmotherula_longicauda",2,"Myrmotherula longicauda",8.21,"Thamnophilidae",1,1210,0.5,"",0
"127",127,"montane_manu",0,"understory","Sporophila_nigricollis",3,"Sporophila nigricollis",11.3925,"Thraupidae",2,1337,0.666666667,"",0
"128",128,"montane_manu",1,"midhigh","Diglossa_glauca",1,"Diglossa glauca",12.82984848,"Thraupidae",1,1758,1,"",4
"129",129,"montane_manu",0,"ground","Ammodramus_aurifrons",2,"Ammodramus aurifrons",17.815,"Emberizidae",1,387,0.5,"",0
"130",130,"montane_manu",1,"midhigh","Xiphorhynchus_triangularis",1,"Xiphorhynchus triangularis",43.98926829,"Furnariidae",0,1501,0,"",0
"131",131,"montane_manu",1,"canopy","Cyanerpes_caeruleus",2,"Cyanerpes caeruleus",12.668,"Thraupidae",1,1124,0.5,"",0
"132",132,"montane_manu",1,"midhigh","Anisognathus_somptuosus",2,"Anisognathus somptuosus",38.233,"Thraupidae",1,1950,0.5,"",6
"133",133,"montane_manu",1,"understory","Iridosornis_analis",2,"Iridosornis analis",27.53977273,"Thraupidae",2,1541,1,"",3
