sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,X.y,ectoparasite_code,species,species_taxonomy_SACC_2021,jetz_species,elevation_all_years,net_elevation,elevation_extrapolated_date,elevation_midpoint,Species_parameters,Station
110387,,P110387,P110387,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA,654,2_11_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,414,NA,414,415,Myrmotherula axillaris,pantiacolla
110390,,P110390,P110390,Microcerculus_marginatus,Microcerculus marginatus,Microcerculus_marginatus,Troglodytidae,0,18.81613333,lowland_manu,ground-understory,low,754,1,0,1,0,0,0,0,0,0,12,0,0,Microcerculus_marginatus,656,2_11_2011_pantiacolla_Microcerculus marginatus,Microcerculus marginatus,Microcerculus marginatus,Microcerculus marginatus,414,NA,414,754,Microcerculus marginatus,pantiacolla
110391,,P110391,P110391,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA,655,2_11_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,414,NA,414,415,Myrmotherula axillaris,pantiacolla
115901,,P115901,P115901,Sclerurus_caudacutus,Sclerurus caudacutus,Sclerurus_caudacutus,Furnariidae,0,37.54095238,lowland_manu,ground,low,413,1,1,1,0,7,5,2,0,0,548,0,0,Sclerurus_caudacutus,15,9_8_2011_pantiacolla_Sclerurus caudacutus,Sclerurus caudacutus,Sclerurus caudacutus,Sclerurus caudacutus,397,NA,397,413,Sclerurus caudacutus,pantiacolla
115908,,P115908,P115908,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,0,1,0,0,0,0,0,0,5,0,0,Myrmotherula_axillaris,8,9_8_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,397,NA,397,415,Myrmotherula axillaris,pantiacolla
115909,,P115909,P115909,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,med,415,1,0,1,0,0,0,0,0,0,1,1,1,Myrmotherula_axillaris,9,9_8_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,397,NA,397,415,Myrmotherula axillaris,pantiacolla
115953,,P115953,P115953,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,0,1,0,0,0,0,0,0,24,0,0,Myrmotherula_axillaris,28,10_8_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,397,NA,397,415,Myrmotherula axillaris,pantiacolla
115954,,P115954,P115954,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,med,415,1,0,1,0,0,0,0,0,0,5,0,0,Myrmotherula_axillaris,29,10_8_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,397,NA,397,415,Myrmotherula axillaris,pantiacolla
115962,,P115962,P115962,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,med,419,1,0,1,0,0,0,0,0,0,10,0,0,Willisornis_poecilinotus,20,10_8_2011_pantiacolla_Willisornis poecilinotus,Willisornis poecilinotus,Willisornis poecilinotus,Willisornis poecilinotus,397,NA,397,419,Willisornis poecilinotus,pantiacolla
115972,,P115972,P115972,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA,21,10_8_2011_pantiacolla_Willisornis poecilinotus,Willisornis poecilinotus,Willisornis poecilinotus,Willisornis poecilinotus,397,NA,397,419,Willisornis poecilinotus,pantiacolla
