"","species_jetz","low_limit","high_limit","species_taxonomy_SACC_2021","flocking","species_from_detections"
"158","Myrmoborus_myotherinus",381,1262,"Myrmoborus_myotherinus","yes","Myrmoborus myotherinus"
"159","Myrmotherula_axillaris",381,1501,"Myrmotherula_axillaris","yes","Myrmotherula axillaris"
"160","Myrmotherula_brachyura",399,1301,"Myrmotherula_brachyura","yes","Myrmotherula brachyura"
"161","Myrmotherula_hauxwelli",376,599,"Isleria_hauxwelli","yes","Isleria hauxwelli"
"162","Myrmotherula_longicauda",837,1429,"Myrmotherula_longicauda","yes","Myrmotherula longicauda"
"163","Myrmotherula_longipennis",381,643,"Myrmotherula_longipennis","yes","Myrmotherula longipennis"
"164","Myrmotherula_menetriesii",397,1380,"Myrmotherula_menetriesii","yes","Myrmotherula menetriesii"
"165","Myrmotherula_multostriata",397,1279,"Myrmotherula_multostriata","yes","Myrmotherula multostriata"
"166","Myrmotherula_schisticolor",989,2578,"Myrmotherula_schisticolor","yes","Myrmotherula schisticolor"
"167","Ochthoeca_rufipectoralis",2347,3377,"Ochthoeca_rufipectoralis","yes","Ochthoeca rufipectoralis"
"168","Odontorchilus_branickii",969,1724,"Odontorchilus_branickii","yes","Odontorchilus branickii"
"169","Pachyramphus_minor",404,643,"Pachyramphus_minor","yes","Pachyramphus minor"
"170","Pachyramphus_polychopterus",407,1718,"Pachyramphus_polychopterus","yes","Pachyramphus polychopterus"
"171","Pachyramphus_versicolor",1320,3101,"Pachyramphus_versicolor","yes","Pachyramphus versicolor"
"172","Parula_pitiayumi",846,1651,"Setophaga_pitiayumi","yes","Setophaga pitiayumi"
"173","Percnostola_lophotes",381,1335,"Myrmoborus_lophotes","yes","Percnostola lophotes"
"174","Pheucticus_aureoventris",1210,2521,"Pheucticus_aureoventris","yes","Pheucticus aureoventris"
"175","Philydor_erythrocercum",385,1538,"Philydor_erythrocercum","yes","Philydor erythrocercum"
"176","Philydor_erythropterum",414,951,"Dendroma_erythroptera","yes","Philydor erythropterum"
"177","Philydor_ruficaudatum",754,1293,"Anabacerthia_ruficaudata","yes","Philydor ruficaudatum"
"178","Phyllomyias_cinereiceps",969,1787,"Phyllomyias_cinereiceps","yes","Phyllomyias cinereiceps"
"179","Phylloscartes_ophthalmicus",1007,2367,"Phylloscartes_ophthalmicus","yes","Pogonotriccus ophthalmicus"
"180","Phylloscartes_poecilotis",1397,2347,"Phylloscartes_poecilotis","yes","Pogonotriccus poecilotis"
"181","Phylloscartes_ventralis",1428,2369,"Phylloscartes_ventralis","yes","Phylloscartes ventralis"
"182","Piaya_cayana",403,1821,"Piaya_cayana","yes","Piaya cayana"
"183","Piculus_leucolaemus",846,846,"Piculus_leucolaemus","yes","Piculus leucolaemus"
"184","Pipra_chloromeros",375,1395,"Ceratopipra_chloromeros","yes","Dixiphia chloromeros"
"185","Pipra_fasciicauda",344,1055,"Pipra_fasciicauda","yes","Pipra fasciicauda"
"186","Pipraeidea_melanonota",1217,2950,"Pipraeidea_melanonota","yes","Pipraeidea melanonota"
"187","Pipreola_intermedia",1449,3101,"Pipreola_intermedia","yes","Pipreola intermedia"
"188","Piranga_flava",1173,2660,"Piranga_flava","yes","Piranga flava"
"189","Piranga_leucoptera",622,1415,"Piranga_leucoptera","yes","Piranga leucoptera"
"190","Piranga_olivacea",1428,1428,"Piranga_olivacea","yes","Piranga olivacea"
"191","Poecilotriccus_albifacies",381,823,"Poecilotriccus_albifacies","yes","Poecilotriccus albifacies"
"192","Poecilotriccus_latirostris",969,969,"Poecilotriccus_latirostris","yes","Poecilotriccus latirostris"
"193","Poecilotriccus_plumbeiceps",1555,2065,"Poecilotriccus_plumbeiceps","yes","Poecilotriccus plumbeiceps"
"194","Premnoplex_brunnescens",995,2728,"Premnoplex_brunnescens","yes","Premnoplex brunnescens"
"195","Premnornis_guttuligera",1702,2728,"Premnornis_guttuliger","yes","Premnornis guttuliger"
"196","Pseudocolaptes_boissonneautii",1716,3159,"Pseudocolaptes_boissonneautii","yes","Pseudocolaptes boissonneautii"
"197","Pygiptila_stellaris",395,680,"Pygiptila_stellaris","yes","Pygiptila stellaris"
"198","Pyrrhomyias_cinnamomeus",1006,3101,"Pyrrhomyias_cinnamomeus","yes","Pyrrhomyias cinnamomeus"
"199","Ramphocelus_carbo",309,2891,"Ramphocelus_carbo","yes","Ramphocelus carbo"
"200","Ramphotrigon_fuscicauda",344,956,"Ramphotrigon_fuscicauda","yes","Ramphotrigon fuscicauda"
"201","Rhynchocyclus_fulvipectus",1124,2728,"Rhynchocyclus_fulvipectus","yes","Rhynchocyclus fulvipectus"
"202","Saltator_grossus",381,2463,"Saltator_grossus","yes","Saltator grossus"
"203","Saltator_maximus",368,1724,"Saltator_maximus","yes","Saltator maximus"
"204","Sclerurus_mexicanus",394,1428,"Sclerurus_obscurior","yes","Sclerurus mexicanus"
"205","Simoxenops_ucayalae",381,1415,"Syndactyla_ucayalae","yes","Simoxenops ucayalae"
"206","Sittasomus_griseicapillus",381,734,"Sittasomus_griseicapillus","yes","Sittasomus griseicapillus"
"207","Synallaxis_azarae",1193,3049,"Synallaxis_azarae","yes","Synallaxis azarae"
"208","Tachyphonus_cristatus",419,419,"Loriotus_cristatus","yes","Tachyphonus cristatus"
"209","Tachyphonus_luctuosus",402,468,"Loriotus_luctuosus","yes","Tachyphonus luctuosus"
"210","Tachyphonus_rufiventer",397,1724,"Loriotus_rufiventer","yes","Tachyphonus rufiventer"
"211","Tangara_arthus",969,2154,"Tangara_arthus","yes","Tangara arthus"
"212","Tangara_callophrys",409,409,"Tangara_callophrys","yes","Tangara callophrys"
"213","Tangara_chilensis",398,1921,"Tangara_chilensis","yes","Tangara chilensis"
"214","Tangara_chrysotis",1293,1591,"Tangara_chrysotis","yes","Tangara chrysotis"
"215","Tangara_cyanicollis",969,1724,"Stilpnia_cyanicollis","yes","Tangara cyanicollis"
"216","Tangara_cyanotis",1283,1283,"Tangara_cyanotis","yes","Tangara cyanotis"
"217","Tangara_gyrola",407,1724,"Tangara_gyrola","yes","Tangara gyrola"
"218","Tangara_mexicana",404,1358,"Tangara_mexicana","yes","Tangara mexicana"
"219","Tangara_nigroviridis",1336,2364,"Tangara_nigroviridis","yes","Tangara nigroviridis"
"220","Tangara_parzudakii",1293,1998,"Tangara_parzudakii","yes","Tangara parzudakii"
"221","Tangara_punctata",1024,1781,"Ixothraupis_punctata","yes","Tangara punctata"
"222","Tangara_ruficervix",1173,1852,"Chalcothraupis_ruficervix","yes","Tangara ruficervix"
"223","Tangara_schrankii",366,1041,"Tangara_schrankii","yes","Tangara schrankii"
"224","Tangara_vassorii",1702,3032,"Tangara_vassorii","yes","Tangara vassorii"
"225","Tangara_velia",409,409,"Tangara_velia","yes","Tangara velia"
"226","Tangara_xanthocephala",1230,2071,"Tangara_xanthocephala","yes","Tangara xanthocephala"
"227","Tangara_xanthogastra",397,1202,"Ixothraupis_xanthogastra","yes","Tangara xanthogastra"
"228","Terenotriccus_erythrurus",344,956,"Terenotriccus_erythrurus","yes","Terenotriccus erythrurus"
"229","Terenura_callinota",648,648,"Euchrepornis_callinota","yes","Terenura callinota"
"230","Thamnomanes_ardesiacus",381,950,"Thamnomanes_ardesiacus","yes","Thamnomanes ardesiacus"
"231","Thamnomanes_schistogynus",381,1279,"Thamnomanes_schistogynus","yes","Thamnomanes schistogynus"
"232","Thamnophilus_aethiops",414,877,"Thamnophilus_aethiops","yes","Thamnophilus aethiops"
"233","Thamnophilus_doliatus",387,1306,"Thamnophilus_doliatus","yes","Thamnophilus doliatus"
"234","Thamnophilus_palliatus",530,1655,"Thamnophilus_palliatus","yes","Thamnophilus palliatus"
"235","Thamnophilus_schistaceus",392,1306,"Thamnophilus_schistaceus","yes","Thamnophilus schistaceus"
"236","Thamnophilus_unicolor",1490,1523,"Thamnophilus_unicolor","yes","Thamnophilus unicolor"
"237","Thlypopsis_ornata",2650,2800,"Thlypopsis_ornata","yes","Thlypopsis ornata"
"238","Thlypopsis_ruficeps",1483,3396,"Thlypopsis_ruficeps","yes","Thlypopsis ruficeps"
"239","Thraupis_bonariensis",2660,2816,"Rauenia_bonariensis","yes","Thraupis bonariensis"
"240","Thraupis_cyanocephala",1335,3032,"Sporathraupis_cyanocephala","yes","Thraupis cyanocephala"
"241","Thraupis_episcopus",387,1490,"Thraupis_episcopus","yes","Thraupis episcopus"
"242","Thraupis_palmarum",404,1724,"Thraupis_palmarum","yes","Thraupis palmarum"
"243","Thripadectes_melanorhynchus",956,1655,"Thripadectes_melanorhynchus","yes","Thripadectes melanorhynchus"
"244","Thripophaga_fusciceps",409,409,"Thripophaga_fusciceps","yes","Thripophaga fusciceps"
"245","Tityra_semifasciata",402,1310,"Tityra_semifasciata","yes","Tityra semifasciata"
"246","Todirostrum_chrysocrotaphum",404,441,"Todirostrum_chrysocrotaphum","yes","Todirostrum chrysocrotaphum"
"247","Tolmomyias_assimilis",411,1224,"Tolmomyias_assimilis","yes","Tolmomyias assimilis"
"248","Trichothraupis_melanops",950,1852,"Trichothraupis_melanops","yes","Trichothraupis melanops"
"249","Troglodytes_solstitialis",1884,3235,"Troglodytes_solstitialis","yes","Troglodytes solstitialis"
"250","Trogon_collaris",362,1489,"Trogon_collaris","yes","Trogon collaris"
"251","Trogon_curucui",307,1115,"Trogon_curucui","yes","Trogon curucui"
"252","Trogon_melanurus",398,878,"Trogon_melanurus","yes","Trogon melanurus"
"253","Trogon_personatus",1298,3049,"Trogon_personatus","yes","Trogon personatus"
