X.,Collection,Sample_Group,Sample.No...,Full_Label,species_binomial,Host.Order,Host.Family,Box.Location,Mite.Group,Mite.Genus,Mite.Species,Total,Mite.Group2,Mite.Genus2,Mite.Species2,Total2,Comment,total_mites,total_mesostigmatidae,total_no_feathers_mites,X,X.1,X.2,X.3,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample
251,JUM,,1036,1036,Automolus_subulatus,Passeriformes,Furnariidae,,Feather,,NA,10,Trombiculid,,NA,1,,11,0,1,NA,NA,NA,NA,Automolus subulatus,28.85,15.55466667,78.23529412,69.3,19,20.1,1,0,50,50,0,Hyloctistes subulatus,6829,Hyloctistes_subulatus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Striped Woodhaunter,bow06829,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,undersory-midhigh,other_iquitos,NA
252,JEJ,,P110342,P110342,Sclerurus_caudacutus,Passeriformes,"Furnariidae
",,Feather,,NA,6,,,NA,NA,,6,0,0,NA,NA,NA,NA,Sclerurus caudacutus,37.54095238,15.42761905,88.47619048,63.4,17.4,22.6,0,100,0,0,0,Sclerurus caudacutus,6874,Sclerurus_caudacutus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Black-tailed Leaftosser,bow06874,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_manu,110342
253,JUM,,1038,1038,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,8,,,NA,NA,,8,0,0,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,other_iquitos,NA
254,JUM,,1037,1037,Myrmoborus_myotherinus,Passeriformes,Thamnophilidae,,Feather,,NA,2,,,NA,NA,,2,0,0,NA,NA,NA,NA,Myrmoborus myotherinus,20.73168831,10.19666667,62.45783133,40.1,14.8,25.7,1,50,50,0,0,Myrmoborus myotherinus,6561,Myrmoborus_myotherinus,Thamnophilidae,Antbirds,Antbirds,Black-faced Antbird,bow06561,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,other_iquitos,NA
255,JEJ,,P110380,P110380,Isleria_hauxwelli,Passeriformes,Thamnophilidae,,Feather,,NA,2,,,NA,NA,,2,0,0,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,other,lowland_manu,110380
257,JEJ,,P110390,P110390,Microcerculus_marginatus,Passeriformes,Troglodytidae,,Feather,,NA,12,,,NA,NA,,12,0,0,NA,NA,NA,NA,Microcerculus marginatus,18.81613333,12.17923077,59.61538462,24.2,11.6,23.5,0,50,50,0,0,Microcerculus marginatus,9781,Microcerculus_marginatus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Southern Nightingale-wren,bow09781,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_manu,110390
258,JUM,,1066,1066,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,7,,,NA,NA,,7,0,0,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,other_iquitos,NA
259,JUM,,1053,1053,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,1,,,NA,NA,,1,0,0,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,other_iquitos,NA
260,JEJ,,P115901,P115901,Sclerurus_caudacutus,Passeriformes,"Furnariidae
",,Feather,,NA,548,,,NA,NA,,548,0,0,NA,NA,NA,NA,Sclerurus caudacutus,37.54095238,15.42761905,88.47619048,63.4,17.4,22.6,0,100,0,0,0,Sclerurus caudacutus,6874,Sclerurus_caudacutus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Black-tailed Leaftosser,bow06874,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_manu,115901
262,JUM,,1052,1052,Microcerculus_marginatus,Passeriformes,Troglodytidae,,Feather,,NA,1,,,NA,NA,,1,0,0,NA,NA,NA,NA,Microcerculus marginatus,18.81613333,12.17923077,59.61538462,24.2,11.6,23.5,0,50,50,0,0,Microcerculus marginatus,9781,Microcerculus_marginatus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Southern Nightingale-wren,bow09781,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,other_iquitos,NA
263,JUM,,1067,1067,Myrmoborus_myotherinus,Passeriformes,Thamnophilidae,,Feather,,NA,1,,,NA,NA,,1,0,0,NA,NA,NA,NA,Myrmoborus myotherinus,20.73168831,10.19666667,62.45783133,40.1,14.8,25.7,1,50,50,0,0,Myrmoborus myotherinus,6561,Myrmoborus_myotherinus,Thamnophilidae,Antbirds,Antbirds,Black-faced Antbird,bow06561,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,other_iquitos,NA
264,JUM,V,1099,V1099,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,3,,,NA,NA,,3,0,0,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,1099
266,JUM,V,1100?,V1100?,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,1,,,NA,NA,,1,0,0,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,1100?
