"","sample","Sample_label","Sample_No","Full_Label","species_jetz","species_clean","species_binomial","family","sociality","mass_tidy","elevation_cat","foraging_cat","Powder.lvl","elevation_midpoint","ectoparasites_PA","Lice","Mites","Ticks","total_lice","Female","Male","Nimph","Eggs","total_mites","total_mesostigmatidae","total_no_feathers_mites","species_binomial.x","x","ectoparasite_code","species","species_taxonomy_SACC_2021","elevation_all_years","net_elevation","elevation","elevation_midpoint.1","Species_parameters","Station","X","day","month","year","full_date","date_status","date","year_seasonality"
"34","110342",NA,"P110342","P110342","Sclerurus_caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus","Furnariidae",0,37.54095238,"lowland_manu","ground","low",413,1,0,1,0,0,"0","0","0","0",6,0,0,"Sclerurus_caudacutus",619,"28_10_2011_pantiacolla_Sclerurus caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus",432,NA,432,413,"Sclerurus caudacutus","pantiacolla",NA,28,10,2011,"2011-10-28",NA,2011-10-28,"301"
"35","120305","W12","305","W120305","Arremon_torquatus","Arremon torquatus","Arremon_torquatus","Emberizidae",1,42.28636364,"high_montane_manu","undersory-midhigh","high",2742,1,1,1,0,4,"1","1","2","0",5,0,0,"Arremon_torquatus",4854,"NA_8_2012_wayqecha_Arremon torquatus",NA,"Arremon_torquatus",NA,NA,NA,2742,"Arremon torquatus","wayqecha",NA,16,8,2012,"2012-8-16","check date",2012-08-16,"229"
"36","110387",NA,"P110387","P110387","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,0,0,0,0,0,"0","0","0","0",0,0,0,NA,654,"2_11_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",414,NA,414,415,"Myrmotherula axillaris","pantiacolla",NA,2,11,2011,"2011-11-2",NA,2011-11-02,"306"
"37","110390",NA,"P110390","P110390","Microcerculus_marginatus","Microcerculus marginatus","Microcerculus_marginatus","Troglodytidae",0,18.81613333,"lowland_manu","ground-understory","low",754,1,0,1,0,0,"0","0","0","0",12,0,0,"Microcerculus_marginatus",656,"2_11_2011_pantiacolla_Microcerculus marginatus","Microcerculus marginatus","Microcerculus_marginatus",414,NA,414,754,"Microcerculus marginatus","pantiacolla",NA,2,11,2011,"2011-11-2",NA,2011-11-02,"306"
"38","110391",NA,"P110391","P110391","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,0,0,0,0,0,"0","0","0","0",0,0,0,NA,655,"2_11_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",414,NA,414,415,"Myrmotherula axillaris","pantiacolla",NA,2,11,2011,"2011-11-2",NA,2011-11-02,"306"
"39","115901",NA,"P115901","P115901","Sclerurus_caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus","Furnariidae",0,37.54095238,"lowland_manu","ground","low",413,1,1,1,0,7,"5","2","0","0",548,0,0,"Sclerurus_caudacutus",15,"9_8_2011_pantiacolla_Sclerurus caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus",397,NA,397,413,"Sclerurus caudacutus","pantiacolla",NA,9,8,2011,"2011-8-9",NA,2011-08-09,"221"
"40","115908",NA,"P115908","P115908","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,1,0,1,0,0,"0","0","0","0",5,0,0,"Myrmotherula_axillaris",8,"9_8_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",397,NA,397,415,"Myrmotherula axillaris","pantiacolla",NA,9,8,2011,"2011-8-9",NA,2011-08-09,"221"
"41","115909",NA,"P115909","P115909","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","med",415,1,0,1,0,0,"0","0","0","0",1,1,1,"Myrmotherula_axillaris",9,"9_8_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",397,NA,397,415,"Myrmotherula axillaris","pantiacolla",NA,9,8,2011,"2011-8-9",NA,2011-08-09,"221"
"42","115953",NA,"P115953","P115953","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,1,0,1,0,0,"0","0","0","0",24,0,0,"Myrmotherula_axillaris",28,"10_8_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",397,NA,397,415,"Myrmotherula axillaris","pantiacolla",NA,10,8,2011,"2011-8-10",NA,2011-08-10,"222"
"43","115954",NA,"P115954","P115954","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","med",415,1,0,1,0,0,"0","0","0","0",5,0,0,"Myrmotherula_axillaris",29,"10_8_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",397,NA,397,415,"Myrmotherula axillaris","pantiacolla",NA,10,8,2011,"2011-8-10",NA,2011-08-10,"222"
"44","115962",NA,"P115962","P115962","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","med",419,1,0,1,0,0,"0","0","0","0",10,0,0,"Willisornis_poecilinotus",20,"10_8_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",397,NA,397,419,"Willisornis poecilinotus","pantiacolla",NA,10,8,2011,"2011-8-10",NA,2011-08-10,"222"
"45","115972",NA,"P115972","P115972","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,0,0,0,0,0,"0","0","0","0",0,0,0,NA,21,"10_8_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",397,NA,397,419,"Willisornis poecilinotus","pantiacolla",NA,10,8,2011,"2011-8-10",NA,2011-08-10,"222"
"46","115976",NA,"P115976","P115976","Lanio_versicolor","Lanio versicolor","Lanio_versicolor","Thraupidae",1,19.76205128,"lowland_manu","canopy","low",438,1,1,1,0,20,"5","2","13","0",40,16,16,"Lanio_versicolor",38,"10_8_2011_pantiacolla_Lanio versicolor","Lanio versicolor","Lanio_versicolor",397,NA,397,438,"Lanio versicolor","pantiacolla",NA,10,8,2011,"2011-8-10",NA,2011-08-10,"222"
"47","115979",NA,"P115979","P115979","Thamnomanes_schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus","Thamnophilidae",1,17.905,"lowland_manu","midhigh","med",430,1,0,1,0,0,"0","0","0","0",14,1,1,"Thamnomanes_schistogynus",46,"11_8_2011_pantiacolla_Thamnomanes schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus",397,NA,397,430,"Thamnomanes schistogynus","pantiacolla",NA,11,8,2011,"2011-8-11",NA,2011-08-11,"223"
"48","116000",NA,"P116000","P116000","Thamnomanes_schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus","Thamnophilidae",1,17.905,"lowland_manu","midhigh","low",430,1,0,1,0,0,"0","0","0","0",37,0,0,"Thamnomanes_schistogynus",48,"11_8_2011_pantiacolla_Thamnomanes schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus",397,NA,397,430,"Thamnomanes schistogynus","pantiacolla",NA,11,8,2011,"2011-8-11",NA,2011-08-11,"223"
"49","130377","W13","377","W130377","Arremon_torquatus","Arremon torquatus","Arremon_torquatus","Emberizidae",1,42.28636364,"high_montane_manu","undersory-midhigh","med",2742,1,1,1,0,5,"2","2","1","0",85,0,0,"Arremon_torquatus",5259,"NA_9_2013_wayqecha_Arremon torquatus",NA,"Arremon_torquatus",NA,NA,NA,2742,"Arremon torquatus","wayqecha",NA,26,9,2013,"2013-9-26","check date",2013-09-26,"269"
"50","116087",NA,"P116087","P116087","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,1,0,1,0,0,"0","0","0","0",6,0,0,"Willisornis_poecilinotus",102,"15_8_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",415,NA,415,419,"Willisornis poecilinotus","pantiacolla",NA,15,8,2011,"2011-8-15",NA,2011-08-15,"227"
"51","110167","P11","167","P110167","Monasa_morphoeus","Monasa morphoeus","Monasa_morphoeus","Bucconidae",1,73.41272727,"lowland_manu","ground-midhigh","low",417,0,0,0,0,0,"0","0","0","0",0,0,0,NA,539,"11_10_2011_pantiacolla_Monasa morphoeus","Monasa morphoeus","Monasa_morphoeus",413,NA,413,417,"Monasa morphoeus","pantiacolla",NA,11,10,2011,"2011-10-11",NA,2011-10-11,"284"
"52","116337","P11","6337","P116337","Monasa_morphoeus","Monasa morphoeus","Monasa_morphoeus","Bucconidae",1,73.41272727,"lowland_manu","ground-midhigh","med",417,0,0,0,0,0,"0","0","0","0",0,0,0,NA,286,"29_8_2011_pantiacolla_Monasa morphoeus","Monasa morphoeus","Monasa_morphoeus",385,NA,385,417,"Monasa morphoeus","pantiacolla",NA,29,8,2011,"2011-8-29",NA,2011-08-29,"241"
"53","116338","P11","6338","P116338","Monasa_morphoeus","Monasa morphoeus","Monasa_morphoeus","Bucconidae",1,73.41272727,"lowland_manu","ground-midhigh","low",417,0,0,0,0,0,"0","0","0","0",0,0,0,NA,287,"29_8_2011_pantiacolla_Monasa morphoeus","Monasa morphoeus","Monasa_morphoeus",385,NA,385,417,"Monasa morphoeus","pantiacolla",NA,29,8,2011,"2011-8-29",NA,2011-08-29,"241"
"54","116435","P11","6435","P116435","Lepidothrix_coronata","Lepidothrix coronata","Lepidothrix_coronata","Pipridae",1,9.769768786,"lowland_manu","undersory-midhigh","med",417.5,0,0,0,0,0,"0","0","0","0",0,0,0,NA,373,"4_9_2011_pantiacolla_Monasa nigrifrons","Monasa nigrifrons","Monasa_nigrifrons",397,NA,397,417.5,"Monasa nigrifrons","pantiacolla",NA,4,9,2011,"2011-9-4",NA,2011-09-04,"247"
"55","120740","P12","740","P120740","Malacoptila_semicincta","Malacoptila semicincta","Malacoptila_semicincta","Bucconidae",0,45.21722222,"lowland_manu","ground-midhigh","very low",494.5,0,0,0,0,0,"0","0","0","0",0,0,0,NA,1114,"2_7_2012_pantiacolla_Malacoptila semicincta","Malacoptila semicincta","Malacoptila_semicincta",NA,NA,NA,494,"Malacoptila semicincta","pantiacolla",NA,2,7,2012,"2012-7-2",NA,2012-07-02,"184"
"56","130378","W13","378","W130378","Arremon_torquatus","Arremon torquatus","Arremon_torquatus","Emberizidae",1,42.28636364,"high_montane_manu","undersory-midhigh","med",2742,1,1,1,0,6,"2","4","0","0",32,0,0,"Arremon_torquatus",5260,"NA_9_2013_wayqecha_Arremon torquatus",NA,"Arremon_torquatus",NA,NA,NA,2742,"Arremon torquatus","wayqecha",NA,30,9,2013,"2013-9-30","check date",2013-09-30,"273"
