,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,general_diversity,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,x,ectoparasite_code,species_taxonomy_SACC_2021,elevation_all_years,net_elevation,elevation_extrapolated_date,elevation_midpoint.1,Species_parameters,Station,X,species.y,degree,w_degree,elevation,date,year_seasonality,degree_species,degree_w_species
39,13356,SP13,SP13356,SP13356,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,med,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3359,14_11_2013_san_pedro_Malacoptila fulvogularis,Malacoptila_fulvogularis,1573,NA,1573,1395,Malacoptila fulvogularis,san_pedro,39,Malacoptila_fulvogularis,13,0.902664,1573,2013-11-14,318,15,1.493573091
40,130765,P13,765,P130765,Galbula_cyanescens,Galbula cyanescens,Galbula_cyanescens,Galbulidae,1,24.96074074,lowland_manu,midhigh,very low,486.5,1,1,1,0,0,1,0,1,0,0,0,0,0,NA,3194,13_10_2013_pantiacolla_Galbula cyanescens,Galbula_cyanescens,392,NA,392,486.5,Galbula cyanescens,pantiacolla,40,Galbula_cyanescens,5,0.542421652,392,2013-10-13,286,18,1.936167346
41,130133,W13,133,W130133,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,very low,2648,1,1,0,1,0,0,0,0,0,0,3,0,0,Pipreola_intermedia,3760,31_8_2013_wayqecha_Pipreola intermedia,Pipreola_intermedia,2650,NA,2650,2648,Pipreola intermedia,wayqecha,41,Pipreola_intermedia,17,2.233936974,2650,2013-08-31,243,17,2.233936974
42,120030,SP12,30,SP120030,Basileuterus_bivittatus,Myiothlypis bivittata,Myiothlypis_bivittata,Parulidae,1,15.17214286,montane_manu,midhigh,med,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4562,20_6_2012_san_pedro_Basileuterus bivittatus,Myiothlypis_bivittata,NA,NA,1387,1217,Basileuterus bivittatus,san_pedro,42,Myiothlypis_bivittata,29,3.254110719,1387,2012-06-20,172,33,3.777219963
43,130657,W13,657,W130657,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,low,2648,1,1,0,1,0,0,0,0,0,0,44,0,0,Pipreola_intermedia,3853,10_11_2013_wayqecha_Pipreola intermedia,Pipreola_intermedia,2521,NA,2521,2648,Pipreola intermedia,wayqecha,43,Pipreola_intermedia,17,2.233936974,2521,2013-11-10,314,17,2.233936974
44,130693,W13,693,W130693,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,low,2648,1,1,0,1,0,0,0,0,0,0,105,0,0,Pipreola_intermedia,3884,13_11_2013_wayqecha_Pipreola intermedia,Pipreola_intermedia,2617,NA,2617,2648,Pipreola intermedia,wayqecha,44,Pipreola_intermedia,17,2.233936974,2617,2013-11-13,317,17,2.233936974
45,110159,SP11,159,SP110159,Basileuterus_bivittatus,Myiothlypis bivittata,Myiothlypis_bivittata,Parulidae,1,15.17214286,montane_manu,midhigh,high,1217,1,2,1,1,0,1,1,0,0,0,4,0,0,Myiothlypis_bivittata,4260,5_10_2011_san_pedro_Basileuterus bivittatus,Myiothlypis_bivittata,NA,NA,1337,1217,Basileuterus bivittatus,san_pedro,45,Myiothlypis_bivittata,29,3.254110719,1337,2011-10-05,278,33,3.777219963
46,130861,W13,861,W130861,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,1,0,1,0,0,0,0,0,0,4,0,0,Pipreola_intermedia,4037,25_11_2013_wayqecha_Pipreola intermedia,Pipreola_intermedia,2833,NA,2833,2648,Pipreola intermedia,wayqecha,46,Pipreola_intermedia,16,2.122825863,2833,2013-11-25,329,17,2.233936974
47,130862,W13,862,W130862,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,1,0,1,0,0,0,0,0,0,37,0,0,Pipreola_intermedia,4038,25_11_2013_wayqecha_Pipreola intermedia,Pipreola_intermedia,2833,NA,2833,2648,Pipreola intermedia,wayqecha,47,Pipreola_intermedia,16,2.122825863,2833,2013-11-25,329,17,2.233936974
48,116038,P11,6038,P116038,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,med,430,1,1,0,1,0,0,0,0,0,0,14,0,0,Thamnomanes_schistogynus,66,14_8_2011_pantiacolla_Thamnomanes schistogynus,Thamnomanes_schistogynus,415,NA,415,430,Thamnomanes schistogynus,pantiacolla,48,Thamnomanes_schistogynus,91,6.642970917,415,2011-08-14,226,108,7.204062452
