"","sample","species","degree","w_degree","elevation"
"400","P110380","Isleria_hauxwelli",18,1.42312775038582,414
"401","P116012","Pipra_fasciicauda",25,2.78982131158602,415
"402","P116013","Lepidothrix_coronata",9,0.603043121094592,415
"403","P116014","Pipra_fasciicauda",25,2.78982131158602,415
"404","P116031","Isleria_hauxwelli",18,1.42312775038582,415
"405","P116022","Pipra_fasciicauda",25,2.78982131158602,415
"406","P116030","Myrmoborus_myotherinus",51,5.31825655054477,415
"407","P116080","Isleria_hauxwelli",18,1.42312775038582,415
"408","P116037","Epinecrophylla_leucophthalma",53,5.24010138442225,415
"409","P116043","Myrmoborus_myotherinus",51,5.31825655054477,415
"410","P116048","Deconychura_longicauda",15,3.11350401971111,415
"411","P116051","Lepidothrix_coronata",9,0.603043121094592,415
"412","P120956","Isleria_hauxwelli",18,1.42312775038582,438
"413","P116057","Automolus_infuscatus",55,5.49988885884104,415
"414","P116058","Habia_rubica",19,2.01436720537527,415
"415","P121007","Isleria_hauxwelli",18,1.42312775038582,422
"416","P116082","Conopophaga_peruviana",2,0.0616666666666667,415
"417","P116085","Habia_rubica",19,2.01436720537527,415
"418","P116089","Deconychura_longicauda",15,3.11350401971111,415
"419","P121357","Isleria_hauxwelli",18,1.42312775038582,415
"420","P116096","Xenops_minutus",40,3.11491625923355,415
"421","P116097","Xenops_minutus",40,3.11491625923355,415
"422","P121796","Isleria_hauxwelli",12,0.870708919216984,392
"423","P116120","Thamnophilus_schistaceus",72,6.33850210181478,415
"424","P116111","Pipra_fasciicauda",25,2.78982131158602,415
"425","P121800","Isleria_hauxwelli",12,0.870708919216984,392
"426","P116115","Arremon_taciturnus",18,1.58350878670139,415
