species_jetz,sociality,Powder.lvl,elevation,total_parasites
Mecocerculus_stictopterus,1,med,2739,1
Myioborus_melanocephalus,1,med,2578,12
Myioborus_melanocephalus,1,med,2578,23
Hylophylax_naevius,0,low,850,1
Thamnomanes_ardesiacus,1,low,421,3
Chlorothraupis_carmioli,1,low,600,0
Thamnomanes_ardesiacus,1,low,421,10
Willisornis_poecilinotus,0,high,419,0
Thamnomanes_ardesiacus,1,low,421,0
Platyrinchus_platyrhynchos,0,low,421.5,0
Myrmotherula_axillaris,1,low,415,4
Willisornis_poecilinotus,0,low,419,0
Corythopis_torquatus,0,low,419,0
Hemispingus_melanotis,1,med,1515,35
Myrmotherula_axillaris,1,low,415,14
Lanio_versicolor,1,low,438,3
Hylophylax_naevius,0,low,850,24
Microcerculus_marginatus,0,low,754,11
Microcerculus_marginatus,0,low,754,4
Hylophylax_naevius,0,low,850,5
Hylophylax_naevius,0,low,850,17
Willisornis_poecilinotus,0,low,419,0
Corythopis_torquatus,0,low,419,15
Corythopis_torquatus,0,low,419,2
Corythopis_torquatus,0,low,419,67
Corythopis_torquatus,0,low,419,1
Microcerculus_marginatus,0,low,754,21
Willisornis_poecilinotus,0,low,419,4
Microcerculus_marginatus,0,low,754,24
Hemispingus_melanotis,1,med,1515,0
Sclerurus_caudacutus,0,low,413,112
Sclerurus_caudacutus,0,low,413,1146
Chlorothraupis_carmioli,1,low,600,0
Sclerurus_caudacutus,0,high,413,2266
Anabacerthia_striaticollis,1,low,1397,0
Hemispingus_melanotis,1,low,1515,0
Pyrrhomyias_cinnamomeus,1,med,2324,3
Hemispingus_melanotis,1,low,1515,2
Arremon_torquatus,1,low,2742,0
Hylophylax_naevius,0,low,850,9
Iridosornis_jelskii,1,low,2859,0
Iridosornis_jelskii,1,low,2859,1
Myioborus_melanocephalus,1,med,2578,4
Arremon_torquatus,1,low,2742,0
Myioborus_melanocephalus,1,med,2578,1
Chlorornis_riefferii,1,med,2728,19
Chlorornis_riefferii,1,low,2728,3
Chlorornis_riefferii,1,low,2728,4
Myioborus_melanocephalus,1,med,2578,1
Anisognathus_igniventris,1,low,2932,0
Iridosornis_jelskii,1,med,2859,1
Iridosornis_jelskii,1,low,2859,3
Arremon_torquatus,1,med,2742,6
Chlorornis_riefferii,1,high,2728,7
Arremon_torquatus,1,low,2742,14
Myioborus_melanocephalus,1,low,2578,0
Myioborus_melanocephalus,1,med,2578,0
Iridosornis_jelskii,1,low,2859,0
Iridosornis_jelskii,1,low,2859,1
Iridosornis_jelskii,1,med,2859,2
Iridosornis_jelskii,1,med,2859,2
Iridosornis_jelskii,1,low,2859,0
Myioborus_melanocephalus,1,med,2578,0
