species,low_limit,high_limit
Rhynchocyclus_fulvipectus,1213.616063,1561.868643
Rupicola_peruvianus,1170.299477,1736.272085
Saltator_maximus,1170.299477,1597.125074
Sayornis_nigricans,1170.299477,1509.153411
Sciaphylax_hemimelaena,1170.299477,1212.630708
Serpophaga_cinerea,1187.203344,1426.552662
Setophaga_pitiayumi,1170.299477,1602.720397
Sphenopsis_melanotis,1259.188684,1736.272085
Spinus_magellanicus,1170.299477,1736.272085
Stilpnia_cyanicollis,1170.299477,1543.423961
Synallaxis_azarae,1677.347666,1736.272085
Synallaxis_cabanisi,1170.299477,1641.957141
Syndactyla_rufosuperciliata,1396.246198,1736.272085
Syndactyla_ucayalae,1170.299477,1193.242248
Tangara_arthus,1170.299477,1580.051281
Tangara_chilensis,1170.299477,1589.738149
Tangara_gyrola,1170.299477,1685.562961
Tangara_nigroviridis,1170.299477,1736.272085
Tangara_xanthocephala,1170.299477,1736.272085
Thamnophilus_caerulescens,1435.312561,1736.272085
Thamnophilus_palliatus,1170.299477,1450.684489
Thraupis_episcopus,1170.299477,1618.888723
Thripadectes_holostictus,1170.299477,1736.272085
Thripadectes_melanorhynchus,1172.932239,1463.557466
Trichothraupis_melanops,1170.299477,1666.375119
Troglodytes_aedon,1170.299477,1736.272085
Trogon_curucui,1170.299477,1178.485309
Trogon_personatus,1675.144911,1736.272085
Turdus_hauxwelli,1170.299477,1577.479242
Turdus_leucops,1170.299477,1736.272085
Turdus_nigriceps,1170.299477,1736.272085
Tyrannus_melancholicus,1170.299477,1533.524103
Vireo_leucophrys,1170.299477,1736.272085
Xiphorhynchus_ocellatus,1170.299477,1635.364881
Xiphorhynchus_triangularis,1191.532111,1736.272085
Zimmerius_bolivianus,1170.299477,1736.272085
Akletos_goeldii,380.0000471,816.2073002
Ammodramus_aurifrons,380.0000471,1070.321603
Anabacerthia_striaticollis,1170.299477,1229.796382
Arremon_taciturnus,380.0000471,789.8583768
Automolus_infuscatus,380.0000471,576.1070774
Automolus_ochrolaemus,380.0000471,1070.173187
Automolus_rufipileatus,380.0000471,659.9768402
Automolus_subulatus,380.0000471,724.7440193
Campephilus_melanoleucos,380.0000471,810.587347
Campylorhamphus_trochilirostris,380,1229.796382
Campylorhynchus_turdinus,380.0000471,1219.240342
Capito_auratus,380.0000471,974.6591689
Catharus_maculatus,324.1637383,1229.796382
Catharus_ustulatus,380.0000471,1229.796382
Ceratopipra_chloromeros,380.0000471,635.2510097
Cercomacra_manu,380,1047.448962
Cercomacroides_serva,380,1229.796382
Chiroxiphia_boliviana,1168.198199,1229.796382
Chlorochrysa_calliparaea,1120.543562,1229.796382
Chlorophonia_cyanea,933.0872427,1229.796382
Chlorospingus_flavigularis,1113.873152,1229.796382
Chlorospingus_flavopectus,1165.666277,1229.796382
Chlorospingus_parvirostris,1223.679558,1229.796382
Chlorothraupis_carmioli,380,1074.17451
Clibanornis_rubiginosus,380,1229.265637
Coereba_flaveola,1012.611112,1229.796382
Colaptes_rubiginosus,1036.232202,1229.796382
Conopias_cinchoneti,923.4757113,1229.796382
Conopophaga_ardesiaca,1098.943403,1229.796382
Corythopis_torquatus,380.0000471,663.6282747
Cranioleuca_curtata,928.5009315,1229.796382
Creurgops_dentatus,1180.322404,1229.796382
Cryptopipo_holochlora,380.0000471,741.5720476
Cyanerpes_caeruleus,380,1229.796382
Cyanocorax_violaceus,380,1229.796382
Cyanocorax_yncas,1127.855315,1229.796382
Cyanoloxia_cyanoides,380.0000471,676.2608194
Cymbilaimus_sanctaemariae,405.5124356,1161.333136
Cyphorhinus_thoracicus,1095.123682,1229.796382
Deconychura_longicauda,380.0000471,932.4080705
Dendrexetastes_rufigula,380.0000471,829.1319189
Dendrocincla_fuliginosa,380.0000471,888.9419868
Dendrocolaptes_picumnus,380.0000471,1088.605729
Diglossa_glauca,1184.073021,1229.796382
Dysithamnus_mentalis,583.0497077,1229.796382
Epinecrophylla_ornata,478.8607096,1229.796382
Epinecrophylla_spodionota,854.8672431,1229.796382
Eubucco_versicolor,1090.583845,1229.796382
Euphonia_mesochrysa,1023.666104,1229.796382
Euphonia_rufiventris,380.0000471,733.6059807
Euphonia_xanthogaster,719.2837437,1229.796382
Galbula_cyanescens,380.0000471,1148.84969
Glyphorynchus_spirurus,380.0000471,700.9939589
Hafferia_fortis,380.0000471,613.5858084
Haplospiza_rustica,1210.998785,1229.796382
Henicorhina_leucophrys,1157.26577,1229.796382
Herpsilochmus_axillaris,920.4601664,1229.796382
Hylophylax_naevius,380,1229.796382
Hypocnemis_subflava,451.2888823,1229.796382
Iridosornis_analis,1031.939067,1229.796382
Ixothraupis_punctata,1041.25076,1229.796382
Lanio_versicolor,380.0000471,806.5349696
Lathrotriccus_euleri,380,1229.796382
Legatus_leucophaius,380.0000471,928.2279537
Lepidothrix_coeruleocapilla,955.7204325,1229.796382
Lepidothrix_coronata,380.0000471,542.4015667
Leptopogon_amaurocephalus,380.0000471,619.196993
Leptopogon_superciliaris,1052.758802,1229.796382
Lochmias_nematura,1076.790032,1229.796382
Lophotriccus_pileatus,1010.06077,1229.796382
Loriotus_rufiventer,380.0000471,817.3311082
Machaeropterus_pyrocephalus,380.0000471,1189.16816
Malacoptila_fulvogularis,1194.571851,1229.796382
Malacoptila_semicincta,380.0000471,713.329019
Microcerculus_marginatus,380,1120.66385
