"","elevation_cat","sociality","foraging_cat","species_jetz","species_clean","ectoparasites_PA_max","sample_size"
"186","lowland_manu",1,"midhigh","Myrmotherula_menetriesii","Myrmotherula menetriesii",1,2
"187","lowland_manu",1,"midhigh","Xiphorhynchus_elegans","Xiphorhynchus elegans",1,19
"188","lowland_manu",0,"understory","Phaethornis_koepckeae","Phaethornis koepckeae",1,1
"189","montane_manu",1,"midhigh","Myrmotherula_schisticolor","Myrmotherula schisticolor",1,3
"190","montane_manu",1,"understory","Basileuterus_coronatus","Myiothlypis coronata",1,12
"191","montane_manu",0,"ground","Cyphorhinus_thoracicus","Cyphorhinus thoracicus",1,13
"192","montane_manu",1,"other","Trichothraupis_melanops","Trichothraupis melanops",1,8
"193","montane_manu",1,"understory","Thripadectes_melanorhynchus","Thripadectes melanorhynchus",1,14
"194","montane_manu",1,"midhigh","Basileuterus_bivittatus","Myiothlypis bivittata",1,11
"195","montane_manu",0,"midhigh","Lophotriccus_pileatus","Lophotriccus pileatus",1,4
"196","montane_manu",1,"midhigh","Myrmotherula_longicauda","Myrmotherula longicauda",1,2
"197","lowland_manu",1,"ground","Myrmeciza_fortis","Hafferia fortis",1,8
"198","lowland_manu",0,"ground","Rhegmatorhina_melanosticta","Rhegmatorhina melanosticta",1,5
"199","lowland_manu",0,"other","Thalurania_furcata","Thalurania furcata",1,1
"200","lowland_manu",1,"ground-understory","Ancistrops_strigilatus","Ancistrops strigilatus",1,3
"201","lowland_manu",1,"midhigh","Mionectes_striaticollis","Mionectes striaticollis",1,1
"202","montane_manu",1,"understory","Hemispingus_melanotis","Sphenopsis melanotis",1,10
"203","montane_manu",0,"understory","Sporophila_nigricollis","Sporophila nigricollis",1,3
"204","montane_manu",1,"midhigh","Diglossa_glauca","Diglossa glauca",1,1
"205","montane_manu",0,"ground","Ammodramus_aurifrons","Ammodramus aurifrons",1,2
"206","montane_manu",1,"midhigh","Xiphorhynchus_triangularis","Xiphorhynchus triangularis",0,1
"207","montane_manu",1,"understory","Mionectes_olivaceus","Mionectes olivaceus",1,23
"208","montane_manu",1,"canopy","Cyanerpes_caeruleus","Cyanerpes caeruleus",1,2
"209","montane_manu",1,"midhigh","Anisognathus_somptuosus","Anisognathus somptuosus",1,2
"210","montane_manu",1,"understory","Iridosornis_analis","Iridosornis analis",1,2
"211","high_montane_manu",1,"midhigh","Buthraupis_montana","Buthraupis montana",1,4
"212","high_montane_manu",1,"understory","Hemispingus_melanotis","Sphenopsis melanotis",1,10
"213","high_montane_manu",1,"canopy","Thraupis_cyanocephala","Sporathraupis cyanocephala",1,12
"214","high_montane_manu",0,"understory","Dubusia_taeniata","Dubusia taeniata",1,1
"215","high_montane_manu",0,"ground","Haplospiza_rustica","Haplospiza rustica",1,5
