NO#,Collection,Sample label,Sample No. #,Full_Label,Powder lvl,Host genus,Host species,Order,Family,Lice,Mites,Ticks,Other,Host Family,Order2,Date of collection,Country,Province,Locality,Altitude
391,JUM,,799,799,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
392,JUM,,803,803,,Pheugopedius,coraya,Passeriformes,Troglodytidae,No,No,No,No,,,,,,,
393,JUM,,804,804,,Manacus,manacus,Passeriformes,Pipridae,No,Yes,No,No,,,,,,,
394,JUM,,805,805,,Malacoptila,fusca,Piciformes,Bucconidae,No,No,No,No,,,,,,,
395,JUM,,806,806,,Geotrygon,montana,Columbiformes,"Columbidae
",Yes,No,No,No,,,,,,,
396,JUM,,808,808,,Manacus,manacus,Passeriformes,Pipridae,Yes,No,No,No,,,,,,,
397,JUM,,809,809,,Manacus,manacus,Passeriformes,Pipridae,No,Yes,No,No,,,,,,,
398,JUM,,812,812,,Pithys,albifrons,Passeriformes,Thamnophilidae,Yes,No,No,No,,,,,,,
399,JUM,,813,813,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,Yes,Yes,No,No,,,,,,,
400,JUM,,814,814,,Pithys,albifrons,Passeriformes,Thamnophilidae,Yes,No,No,No,,,,,,,
401,JUM,,815,815,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
402,JUM,,816,816,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
403,JUM,,818,818,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
