"","species_pair","species","species2","low_limit","high_limit"
"125","Epinecrophylla.ornata&Dysithamnus.mentalis","Epinecrophylla.ornata","Dysithamnus.mentalis",583.0497077,1627.628265
"126","Epinecrophylla.spodionota&Dysithamnus.mentalis","Epinecrophylla.spodionota","Dysithamnus.mentalis",854.8672431,1423.114472
"127","Hafferia.fortis&Dysithamnus.mentalis","Hafferia.fortis","Dysithamnus.mentalis",583.0497077,613.5858084
"128","Herpsilochmus.axillaris&Dysithamnus.mentalis","Herpsilochmus.axillaris","Dysithamnus.mentalis",920.4601664,1590.139445
"129","Hylophylax.naevius&Dysithamnus.mentalis","Hylophylax.naevius","Dysithamnus.mentalis",583.0497077,1288.421472
"130","Hypocnemis.subflava&Dysithamnus.mentalis","Hypocnemis.subflava","Dysithamnus.mentalis",583.0497077,1437.704218
"131","Microrhopias.quixensis&Dysithamnus.mentalis","Microrhopias.quixensis","Dysithamnus.mentalis",583.0497077,1185.003847
"132","Myrmelastes.brunneiceps&Dysithamnus.mentalis","Myrmelastes.brunneiceps","Dysithamnus.mentalis",583.0497077,746.5097098
"133","Myrmelastes.leucostigma&Dysithamnus.mentalis","Myrmelastes.leucostigma","Dysithamnus.mentalis",583.0497077,1419.427474
"134","Myrmoborus.leucophrys&Dysithamnus.mentalis","Myrmoborus.leucophrys","Dysithamnus.mentalis",583.0497077,1130.37757
"135","Myrmoborus.lophotes&Dysithamnus.mentalis","Myrmoborus.lophotes","Dysithamnus.mentalis",583.0497077,1158.186905
"136","Myrmoborus.myotherinus&Dysithamnus.mentalis","Myrmoborus.myotherinus","Dysithamnus.mentalis",583.0497077,747.5128609
"137","Myrmotherula.brachyura&Dysithamnus.mentalis","Myrmotherula.brachyura","Dysithamnus.mentalis",583.0497077,776.2948127
"138","Myrmotherula.longicauda&Dysithamnus.mentalis","Myrmotherula.longicauda","Dysithamnus.mentalis",969.1766003,1431.987319
"139","Myrmotherula.schisticolor&Dysithamnus.mentalis","Myrmotherula.schisticolor","Dysithamnus.mentalis",1242.949247,1691.521775
"140","Pyriglena.leuconota&Dysithamnus.mentalis","Pyriglena.leuconota","Dysithamnus.mentalis",1036.267373,1691.521775
"141","Rhegmatorhina.melanosticta&Dysithamnus.mentalis","Rhegmatorhina.melanosticta","Dysithamnus.mentalis",583.0497077,1011.101573
"142","Sciaphylax.hemimelaena&Dysithamnus.mentalis","Sciaphylax.hemimelaena","Dysithamnus.mentalis",583.0497077,1212.630708
"143","Thamnomanes.schistogynus&Dysithamnus.mentalis","Thamnomanes.schistogynus","Dysithamnus.mentalis",583.0497077,782.9777507
"144","Thamnophilus.caerulescens&Dysithamnus.mentalis","Thamnophilus.caerulescens","Dysithamnus.mentalis",1435.312561,1691.521775
