flock_id,elevation,elevation_bin,num_species,num_ind,flock_type,flock_type_ref,flock_type_cat,sites,trail,weather_cloudy,forest_type,habitat,mean_canopy_H,num_trees,num_sm_steam,num_lg_steam,vain_vol,bamb_vol,canopy_cover,epiphyte_perc,site_network_q1,site_network_q1_1
FF066,422,300_500,4,5,1,1,Lowland_understory,Pantiacolla,Monk-saki,70,Lowland rainforest,Terra Firme,27,6,16,12,10,0,10,10,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF067,408,300_500,11,17,1,1,Lowland_understory,Pantiacolla,Capibara,20,Lowland rainforest,Terra Firme,22,10,15,19,10,0,30,15,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF069,411,300_500,12,16,1,1,Lowland_understory,Pantiacolla,Aracari,0,Lowland rainforest,Terra Firme,26,9,13,3,10,0,15,25,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
FF070,425,300_500,6,11,1,1,Lowland_understory,Pantiacolla,Monk-saki,0,Lowland rainforest,Terra Firme,27,7,10,5,40,0,15,10,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F053,530,500_700,6,9,1,2,Lowland_understory_Bamboo,Villa Carmen,Oroya trail,0,Lowland forest,Bamboo forest,8,6,24,10,0,90,30,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F052,535,500_700,9,13,1,2,Lowland_understory_Bamboo,Villa Carmen,Oroya trail,0,Lowland forest,Bamboo forest,4,3,40,22,0,5,40,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F059,545,500_700,10,16,1,2,Lowland_understory_Bamboo,Villa Carmen,Camping trail 2,100,Lowland forest,Bamboo forest,22,12,40,13,0,50,20,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F060,550,500_700,5,8,1,2,Lowland_understory_Bamboo,Villa Carmen,Jaguar trail,100,Lowland forest,Bamboo forest,10,1,32,4,0,90,40,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F050,562,500_700,5,8,1,2,Lowland_understory_Bamboo,Villa Carmen,Camping trail,0,Lowland forest,Bamboo forest,28,NA,NA,NA,NA,NA,NA,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F081,580,500_700,12,19,1,2,Lowland_understory_Bamboo,Villa Carmen,Main trail,0,Lowland forest,Bamboo forest,25,10,14,16,0,30,10,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F054,607,500_700,7,9,1,2,Lowland_understory_Bamboo,Villa Carmen,Camping trail,0,Lowland forest,Bamboo forest,14,10,40,10,0,95,40,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F071,638,500_700,4,10,1,2,Lowland_understory_Bamboo,Villa Carmen,Main trail,0,Lowland forest,Bamboo forest,32,12,24,NA,NA,NA,NA,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F051,640,500_700,5,6,1,2,Lowland_understory_Bamboo,Villa Carmen,Camping trail,100,Lowland forest,Bamboo forest,20,3,16,10,0,95,20,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F062,641,500_700,6,12,1,2,Lowland_understory_Bamboo,Villa Carmen,Mirador trail,100,Lowland forest,Bamboo forest,16,11,12,9,0,90,20,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F065,643,500_700,6,14,1,2,Lowland_understory_Bamboo,Villa Carmen,Jaguar trail,0,Lowland forest,Bamboo forest,18,7,26,10,0,60,20,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F066,643,500_700,5,6,1,2,Lowland_understory_Bamboo,Villa Carmen,Jaguar trail,0,Lowland forest,Bamboo forest,18,5,10,3,0,95,40,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F055,648,500_700,10,12,1,2,Lowland_understory_Bamboo,Villa Carmen,Camping trail,100,Lowland forest,Bamboo forest,24,3,31,4,0,95,15,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F061,655,500_700,6,9,1,2,Lowland_understory_Bamboo,Villa Carmen,Camping trail 2,100,Lowland forest,Bamboo forest,18,9,21,8,0,95,10,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F056,658,500_700,8,11,1,2,Lowland_understory_Bamboo,Villa Carmen,Camping trail,70,Lowland forest,Bamboo forest,22,4,40,13,0,90,5,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F080,667,500_700,5,8,1,2,Lowland_understory_Bamboo,Villa Carmen,Mirador trail,0,Lowland forest,Bamboo forest,20,10,20,10,0,70,30,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F073,678,500_700,9,12,1,2,Lowland_understory_Bamboo,Villa Carmen,Jaguar trail,100,Lowland forest,Bamboo forest,24,9,11,8,0,60,30,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F067,682,500_700,7,8,1,2,Lowland_understory_Bamboo,Villa Carmen,Jaguar trail,0,Lowland forest,Bamboo forest,22,10,15,18,0,80,30,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
F068,694,500_700,8,12,1,2,Lowland_understory_Bamboo,Villa Carmen,Jaguar trail,0,Lowland forest,Bamboo forest,28,11,11,10,0,80,5,NA,Site2_LowlandsBamboo_500_1100,Site2_LowlandsBamboo_500_1100_ Lowland_understory_Bamboo
