,species_from_detections,species_taxonomy_SACC_2021,n,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,X2010.IUCN.Red.List.category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,n.y,notes_taxonomy.x.y,missmatches,status,X
512,Pygochelidon cyanoleuca,Pygochelidon cyanoleuca,17,Notiochelidon cyanoleuca,Pygochelidon cyanoleuca,NA,10021,Pygochelidon_cyanoleuca,S6,"Swallows, Martins","Swallows, Martins",Blue-and-white Swallow,bow10021,LC,BL3,Hirundinidae,Swallows and martins,156,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,assigned
513,Phylloscartes parkeri,Phylloscartes parkeri,18,Phylloscartes parkeri,Phylloscartes parkeri,NA,19511,Phylloscartes_parkeri,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Cinnamon-faced Tyrannulet,bow19511,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
514,Cyanocorax yncas,Cyanocorax yncas,104,Cyanocorax yncas,Cyanocorax yncas,NA,8019,Cyanocorax_yncas,CC8,"Shrikes, Monarchs, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies",Green Jay,bow08019,LC,BL3,Corvidae,Crows and jays,147,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
515,Herpsilochmus axillaris,Herpsilochmus axillaris,71,Herpsilochmus axillaris,Herpsilochmus axillaris,NA,6514,Herpsilochmus_axillaris,Thamnophilidae,Antbirds,Antbirds,Yellow-breasted Antwren,bow06514,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
516,Contopus fumigatus,Contopus fumigatus,143,Contopus fumigatus,Contopus fumigatus,NA,6024,Contopus_fumigatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Smoke-coloured Pewee,bow06024,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
517,Penelope montagnii,Penelope montagnii,102,Penelope montagnii,Penelope montagnii,NA,153,Penelope_montagnii,Cracidae,"Curassows, Chacalacas, Guans","Curassows, Chacalacas, Guans",Andean Guan,bow00153,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
518,Pharomachrus auriceps,Pharomachrus auriceps,163,Pharomachrus auriceps,Pharomachrus auriceps,NA,1424,Pharomachrus_auriceps,Trogonidae,Trogons,Trogons,Golden-headed Quetzal,bow01424,LC,BL3,Trogonidae,Trogons,81,TROGONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
519,Myiotheretes striaticollis,Myiotheretes striaticollis,45,Myiotheretes striaticollis,Myiotheretes striaticollis,NA,6076,Myiotheretes_striaticollis,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Streak-throated Bush-tyrant,bow06076,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
520,Grallaria albigula,Grallaria albigula,126,Grallaria albigula,Grallaria albigula,NA,6993,Grallaria_albigula,Antpittas,Antpittas,"Antpittas, Tapaculos",White-throated Antpitta,bow06993,LC,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
521,Cnemarchus erythropygius,Cnemarchus erythropygius,1,Cnemarchus erythropygius,Cnemarchus erythropygius,NA,6075,Cnemarchus_erythropygius,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Red-rumped Bush-tyrant,bow06075,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
522,Odontophorus balliviani,Odontophorus balliviani,20,Odontophorus balliviani,Odontophorus balliviani,NA,486,Odontophorus_balliviani,Odontophoridae,"Pheasants, Quail, Guineafowl","Pheasants, Quail, Guineafowl",Stripe-faced Wood-quail,bow00486,LC,BL3,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
523,Patagioenas plumbea,Patagioenas plumbea,325,Patagioenas plumbea,Patagioenas plumbea,NA,3364,Patagioenas_plumbea,Columbidae,"Pigeons, Doves","Pigeons, Doves",Plumbeous Pigeon,bow03364,LC,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
524,Dryocopus lineatus,Dryocopus lineatus,5,Dryocopus lineatus,Dryocopus lineatus,NA,1022,Dryocopus_lineatus,Picidae,Woodpeckers,"Woodpeckers, Honeyguides, Toucans, Barbets",Lineated Woodpecker,bow01022,LC,BL3,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
