,species_from_detections,species_taxonomy_SACC_2021,n,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,X2010.IUCN.Red.List.category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,n.y,notes_taxonomy.x.y,missmatches,status,X
529,Tinamus osgoodi,Tinamus osgoodi,64,Tinamus osgoodi,Tinamus osgoodi,NA,67,Tinamus_osgoodi,Paleognathae,Paleognaths,Paleognaths,Black Tinamou,bow00067,VU,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
530,Microbates cinereiventris,Microbates cinereiventris,2,Microbates cinereiventris,Microbates cinereiventris,NA,9797,Microbates_cinereiventris,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Tawny-faced Gnatwren,bow09797,LC,BL3,Polioptilidae,Gnatcatchers,172,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
531,Colonia colonus,Colonia colonus,3,Colonia colonus,Colonia colonus,NA,6133,Colonia_colonus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Long-tailed Tyrant,bow06133,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
532,Campylorhynchus turdinus,Campylorhynchus turdinus,82,Campylorhynchus turdinus,Campylorhynchus turdinus,NA,9677,Campylorhynchus_turdinus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Thrush-like Wren,bow09677,LC,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
533,Knipolegus aterrimus,Knipolegus aterrimus,2,Knipolegus aterrimus,Knipolegus aterrimus,NA,6120,Knipolegus_aterrimus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",White-winged Black-tyrant,bow06120,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
534,Streptoprocne zonaris,Streptoprocne zonaris,21,Streptoprocne zonaris,Streptoprocne zonaris,NA,2340,Streptoprocne_zonaris,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",White-collared Swift,bow02340,LC,BL3,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
535,Grallaria squamigera,Grallaria squamigera,28,Grallaria squamigera,Grallaria squamigera,NA,6968,Grallaria_squamigera,Antpittas,Antpittas,"Antpittas, Tapaculos",Undulated Antpitta,bow06968,LC,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
536,Aglaeactis castelnaudii,Aglaeactis castelnaudii,9,Aglaeactis castelnaudii,Aglaeactis castelnaudii,NA,2692,Aglaeactis_castelnaudii,Trochilidae,Hummingbirds,Hummingbirds,White-tufted Sunbeam,bow02692,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
537,Patagioenas fasciata,Patagioenas fasciata,63,Patagioenas fasciata,Patagioenas fasciata,NA,3355,Patagioenas_fasciata,Columbidae,"Pigeons, Doves","Pigeons, Doves",Band-tailed Pigeon,bow03355,LC,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
538,Streptoprocne rutila,Streptoprocne rutila,51,Streptoprocne rutila,Streptoprocne rutila,NA,2339,Streptoprocne_rutila,Apodidae,"Swifts, Treeswifts","Swifts, Treeswifts",Chestnut-collared Swift,bow02339,LC,BL3,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
539,Lesbia nuna,Lesbia nuna,3,Lesbia nuna,Lesbia nuna,NA,2739,Lesbia_nuna,Trochilidae,Hummingbirds,Hummingbirds,Green-tailed Trainbearer,bow02739,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
540,Aburria aburri,Aburria aburri,47,Aburria aburri,Aburria aburri,NA,169,Aburria_aburri,Cracidae,"Curassows, Chacalacas, Guans","Curassows, Chacalacas, Guans",Wattled Guan,bow00169,NT,BL3,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
541,Phyllomyias plumbeiceps,Phyllomyias plumbeiceps,1,Phyllomyias plumbeiceps,Phyllomyias plumbeiceps,NA,5830,Phyllomyias_plumbeiceps,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Plumbeous-crowned Tyrannulet,bow05830,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
542,Tinamus tao,Tinamus tao,50,Tinamus tao,Tinamus tao,NA,65,Tinamus_tao,Paleognathae,Paleognaths,Paleognaths,Grey Tinamou,bow00065,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
543,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,45,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,NA,6396,Cymbilaimus_sanctaemariae,Thamnophilidae,Antbirds,Antbirds,Bamboo Antshrike,bow06396,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
544,Melanerpes cruentatus,Melanerpes cruentatus,27,Melanerpes cruentatus,Melanerpes cruentatus,NA,885,Melanerpes_cruentatus,Picidae,Woodpeckers,"Woodpeckers, Honeyguides, Toucans, Barbets",Yellow-tufted Woodpecker,bow00885,LC,BL3,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
545,Ara severus,Ara severus,83,Ara severus,Ara severus,NA,2163,Ara_severus,Psittacidae2,Parrots,Parrots,Chestnut-fronted Macaw,bow02163,LC,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
546,Psarocolius bifasciatus,Psarocolius bifasciatus,139,Psarocolius bifasciatus,Psarocolius bifasciatus,NA,13338,Psarocolius_bifasciatus,P21,New World Blackbirds,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Olive Oropendola,bow13338,LC,BL3,Icteridae,New World blackbirds,190,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
547,Pionus menstruus,Pionus menstruus,95,Pionus menstruus,Pionus menstruus,NA,2272,Pionus_menstruus,Psittacidae2,Parrots,Parrots,Blue-headed Parrot,bow02272,LC,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
548,Syndactyla ucayalae,Syndactyla ucayalae,37,Simoxenops ucayalae,Simoxenops ucayalae,REV_TAX,6851,Simoxenops_ucayalae,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Peruvian Recurvebill,bow06851,NT,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
549,Ibycter americanus,Ibycter americanus,11,Ibycter americanus,Ibycter americanus,NA,4919,Ibycter_americanus,Falconidae,"Falcons, Caracaras","Falcons, Caracaras",Red-throated Caracara,bow04919,LC,BL3,Falconidae,Falcons and caracaras,35,FALCONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
550,Myrmothera campanisona,Myrmothera campanisona,111,Myrmothera campanisona,Myrmothera campanisona,NA,7014,Myrmothera_campanisona,Antpittas,Antpittas,"Antpittas, Tapaculos",Thrush-like Antpitta,bow07014,LC,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
551,Penelope jacquacu,Penelope jacquacu,74,Penelope jacquacu,Penelope jacquacu,NA,160,Penelope_jacquacu,Cracidae,"Curassows, Chacalacas, Guans","Curassows, Chacalacas, Guans",Spix's Guan,bow00160,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
552,Trogon melanurus,Trogon melanurus,131,Trogon melanurus,Trogon melanurus,NA,1430,Trogon_melanurus,Trogonidae,Trogons,Trogons,Black-tailed Trogon,bow01430,LC,BL3,Trogonidae,Trogons,81,TROGONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
553,Trogon viridis,Trogon viridis,24,Trogon viridis,Trogon viridis,NA,1434,Trogon_viridis,Trogonidae,Trogons,Trogons,Green-backed Trogon,bow01434,LC,BL3,Trogonidae,Trogons,81,TROGONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
554,Crypturellus soui,Crypturellus soui,49,Crypturellus soui,Crypturellus soui,NA,75,Crypturellus_soui,Paleognathae,Paleognaths,Paleognaths,Little Tinamou,bow00075,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
555,Vireo olivaceus,Vireo olivaceus,7,Vireo olivaceus,Vireo olivaceus,NA,7791,Vireo_olivaceus,CC3,"Vireos, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies",Red-eyed Vireo,bow07791,LC,BL3,Vireonidae,Vireos and allies,141,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
556,Campephilus rubricollis,Campephilus rubricollis,21,Campephilus rubricollis,Campephilus rubricollis,NA,1029,Campephilus_rubricollis,Picidae,Woodpeckers,"Woodpeckers, Honeyguides, Toucans, Barbets",Red-necked Woodpecker,bow01029,LC,BL3,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
557,Pionus tumultuosus,Pionus tumultuosus,31,Pionus tumultuosus,Pionus tumultuosus,NA,2275,Pionus_tumultuosus,Psittacidae2,Parrots,Parrots,Speckle-faced Parrot,bow02275,LC,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
558,Pachyramphus versicolor,Pachyramphus versicolor,33,Pachyramphus versicolor,Pachyramphus versicolor,NA,6231,Pachyramphus_versicolor,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Barred Becard,bow06231,LC,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
559,Pipra chloromeros,Ceratopipra chloromeros,398,Dixiphia chloromeros,Pipra chloromeros,REV_TAX,6342,Pipra_chloromeros,Pipridae,Manakins,Manakins,Round-tailed Manakin,bow06342,LC,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,398,REV_TAX,TRUE,include,
560,Ara militaris,Ara militaris,14,Ara militaris,Ara militaris,NA,2155,Ara_militaris,Psittacidae2,Parrots,Parrots,Military Macaw,bow02155,VU,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
561,Dromococcyx pavoninus,Dromococcyx pavoninus,8,Dromococcyx pavoninus,Dromococcyx pavoninus,NA,1888,Dromococcyx_pavoninus,Cuculidae,Cuckoos,Cuckoos,Pavonine Cuckoo,bow01888,LC,BL3,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
562,Delothraupis castaneoventris,Dubusia castaneoventris,35,Delothraupis castaneoventris,Delothraupis castaneoventris,REV_TAX,12968,Delothraupis_castaneoventris,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Chestnut-bellied Mountain-tanager,bow12968,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
563,Phyllomyias cinereiceps,Phyllomyias cinereiceps,16,Phyllomyias cinereiceps,Phyllomyias cinereiceps,NA,5832,Phyllomyias_cinereiceps,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ashy-headed Tyrannulet,bow05832,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
564,Contopus sordidulus,Contopus sordidulus,3,Contopus sordidulus,Contopus sordidulus,NA,6027,Contopus_sordidulus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Western Wood-pewee,bow06027,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
565,Poecilotriccus pulchellus,Poecilotriccus pulchellus,1,Poecilotriccus pulchellus,Poecilotriccus pulchellus,NA,5813,Poecilotriccus_pulchellus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Black-backed Tody-flycatcher,bow05813,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
566,Ortalis guttata,Ortalis guttata,27,Ortalis guttata,Ortalis guttata,NA,147,Ortalis_guttata,Cracidae,"Curassows, Chacalacas, Guans","Curassows, Chacalacas, Guans",Speckled Chachalaca,bow00147,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
567,Buteo platypterus,Buteo platypterus,1,Buteo platypterus,Buteo platypterus,NA,4810,Buteo_platypterus,Accipitridae,"Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird",Broad-winged Hawk,bow04810,LC,BL3,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
568,Leptosittaca branickii,Leptosittaca branickii,2,Leptosittaca branickii,Leptosittaca branickii,NA,2195,Leptosittaca_branickii,Psittacidae2,Parrots,Parrots,Golden-plumed Parakeet,bow02195,VU,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
569,Spizaetus isidori,Spizaetus isidori,1,Spizaetus isidori,Spizaetus isidori,NA,4894,Spizaetus_isidori,Accipitridae,"Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird",Black-and-chestnut Eagle,bow04894,VU,BL3,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
570,Schistocichla leucostigma,Myrmelastes leucostigma,25,Schistocichla leucostigma,Schistocichla leucostigma,REV_TAX,6572,Schistocichla_leucostigma,Thamnophilidae,Antbirds,Antbirds,Spot-winged Antbird,bow06572,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
571,Phyllomyias burmeisteri,Phyllomyias burmeisteri,1,Phyllomyias burmeisteri,Phyllomyias burmeisteri,NA,5822,Phyllomyias_burmeisteri,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Rough-legged Tyrannulet,bow05822,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
572,Aratinga mitrata,Psittacara mitratus,38,Aratinga mitrata,Aratinga mitrata,REV_TAX,2178,Aratinga_mitrata,Psittacidae2,Parrots,Parrots,Mitred Parakeet,bow02178,LC,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
573,Phylloscartes orbitalis,Phylloscartes orbitalis,3,Pogonotriccus orbitalis,Phylloscartes orbitalis,NA,5931,Phylloscartes_orbitalis,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Spectacled Bristle-tyrant,bow05931,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,assigned
574,Orochelidon flavipes,Orochelidon flavipes,6,Orochelidon flavipes,Notiochelidon flavipes,NA,10024,Notiochelidon_flavipes,S6,"Swallows, Martins","Swallows, Martins",Pale-footed Swallow,bow10024,LC,BL3,Hirundinidae,Swallows and martins,156,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,assigned
575,Thamnophilus unicolor,Thamnophilus unicolor,3,Thamnophilus unicolor,Thamnophilus unicolor,NA,6423,Thamnophilus_unicolor,Thamnophilidae,Antbirds,Antbirds,Uniform Antshrike,bow06423,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
576,Zimmerius cinereicapilla,Zimmerius cinereicapilla,2,Zimmerius cinereicapilla,Zimmerius cinereicapilla,NA,5840,Zimmerius_cinereicapilla,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Red-billed Tyrannulet,bow05840,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
577,Touit huetii,Touit huetii,6,Touit huetii,Touit huetii,NA,2250,Touit_huetii,Psittacidae2,Parrots,Parrots,Scarlet-shouldered Parrotlet,bow02250,LC,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
578,Philydor erythropterum,Dendroma erythroptera,16,Philydor erythropterum,Philydor erythropterum,REV_TAX,6845,Philydor_erythropterum,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Chestnut-winged Foliage-gleaner,bow06845,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
579,Aratinga leucophthalma,Psittacara leucophthalmus,NA,Aratinga leucophthalma,Aratinga leucophthalma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580,Patagioenas subvinacea,Patagioenas subvinacea,54,Patagioenas subvinacea,Patagioenas subvinacea,NA,3365,Patagioenas_subvinacea,Columbidae,"Pigeons, Doves","Pigeons, Doves",Ruddy Pigeon,bow03365,LC,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
581,Picumnus aurifrons,Picumnus aurifrons,1,Picumnus aurifrons,Picumnus aurifrons,NA,847,Picumnus_aurifrons,Picidae,Woodpeckers,"Woodpeckers, Honeyguides, Toucans, Barbets",Bar-breasted Piculet,bow00847,LC,BL3,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
582,Myiornis ecaudatus,Myiornis ecaudatus,13,Myiornis ecaudatus,Myiornis ecaudatus,NA,5954,Myiornis_ecaudatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Short-tailed Pygmy-tyrant,bow05954,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
583,Amazona farinosa,Amazona farinosa,39,Amazona farinosa,Amazona farinosa,NA,2304,Amazona_farinosa,Psittacidae2,Parrots,Parrots,Mealy Amazon,bow02304,LC,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
584,Ara ararauna,Ara ararauna,22,Ara ararauna,Ara ararauna,NA,2153,Ara_ararauna,Psittacidae2,Parrots,Parrots,Blue-and-yellow Macaw,bow02153,LC,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
585,Hemithraupis flavicollis,Hemithraupis flavicollis,6,Hemithraupis flavicollis,Hemithraupis flavicollis,NA,12868,Hemithraupis_flavicollis,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Yellow-backed Tanager,bow12868,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
586,Elanoides forficatus,Elanoides forficatus,1,Elanoides forficatus,Elanoides forficatus,NA,4603,Elanoides_forficatus,Accipitridae,"Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird",American Swallow-tailed Kite,bow04603,LC,BL3,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
587,Scytalopus schulenbergi,Scytalopus schulenbergi,3,Scytalopus schulenbergi,Scytalopus schulenbergi,NA,7094,Scytalopus_schulenbergi,Rhinocryptidae,Tapaculos,"Antpittas, Tapaculos",Diademed Tapaculo,bow07094,LC,BL3,Rhinocryptidae,Tapaculos,108,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
588,Hemispingus trifasciatus,Microspingus trifasciatus,12,Hemispingus trifasciatus,Hemispingus trifasciatus,REV_TAX,12858,Hemispingus_trifasciatus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Three-striped Hemispingus,bow12858,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
589,Lurocalis rufiventris,Lurocalis rufiventris,1,Lurocalis rufiventris,Lurocalis rufiventris,NA,3210,Lurocalis_rufiventris,Caprimulgidae,Nightjars,Nightjars,Rufous-bellied Nighthawk,bow03210,LC,BL3,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
590,Claravis mondetoura,Paraclaravis mondetoura,3,Claravis mondetoura,Claravis mondetoura,REV_TAX,3457,Claravis_mondetoura,Columbidae,"Pigeons, Doves","Pigeons, Doves",Maroon-chested Ground-dove,bow03457,LC,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
591,Nannopsittaca dachilleae,Nannopsittaca dachilleae,1,Nannopsittaca dachilleae,Nannopsittaca dachilleae,NA,2248,Nannopsittaca_dachilleae,Psittacidae2,Parrots,Parrots,Amazonian Parrotlet,bow02248,NT,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
592,Piranga flava,Piranga flava,4,Piranga flava,Piranga flava,NA,12908,Piranga_flava,P12,"Cardinals, Allies","Cardinals, Allies",Hepatic Tanager,bow12908,LC,BL3,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
593,Bolborhynchus lineola,Bolborhynchus lineola,32,Bolborhynchus lineola,Bolborhynchus lineola,NA,2229,Bolborhynchus_lineola,Psittacidae2,Parrots,Parrots,Barred Parakeet,bow02229,LC,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
594,Ciccaba albitarsis,Ciccaba albitarsis,1,Ciccaba albitarsis,Strix albitarsis,NA,3008,Strix_albitarsis,Strigidae,Owls,"Owls, Barn Owls",Rufous-banded Owl,bow03008,LC,BL3,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,assigned
595,Hemispingus xanthophthalmus,Pseudospingus xanthophthalmus,20,Hemispingus xanthophthalmus,Hemispingus xanthophthalmus,REV_TAX,12857,Hemispingus_xanthophthalmus,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Drab Hemispingus,bow12857,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
596,Primolius couloni,Primolius couloni,20,Primolius couloni,Primolius couloni,NA,2165,Primolius_couloni,Psittacidae2,Parrots,Parrots,Blue-headed Macaw,bow02165,VU,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
597,Myiarchus cephalotes,Myiarchus cephalotes,2,Myiarchus cephalotes,Myiarchus cephalotes,NA,6163,Myiarchus_cephalotes,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Pale-edged Flycatcher,bow06163,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
598,Vireolanius leucotis,Vireolanius leucotis,11,Vireolanius leucotis,Vireolanius leucotis,NA,7754,Vireolanius_leucotis,CC3,"Vireos, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies",Slaty-capped Shrike-vireo,bow07754,LC,BL3,Vireonidae,Vireos and allies,141,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
599,Hemitriccus rufigularis,Hemitriccus rufigularis,2,Hemitriccus rufigularis,Hemitriccus rufigularis,NA,5794,Hemitriccus_rufigularis,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Buff-throated Tody-tyrant,bow05794,NT,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
600,Pyrilia barrabandi,Pyrilia barrabandi,3,Pyrilia barrabandi,Pyrilia barrabandi,NA,2262,Pyrilia_barrabandi,Psittacidae2,Parrots,Parrots,Orange-cheeked Parrot,bow02262,LC,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
601,Micrastur mirandollei,Micrastur mirandollei,1,Micrastur mirandollei,Micrastur mirandollei,NA,4913,Micrastur_mirandollei,Falconidae,"Falcons, Caracaras","Falcons, Caracaras",Slaty-backed Forest-falcon,bow04913,LC,BL3,Falconidae,Falcons and caracaras,35,FALCONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
