Host.Family,BLFamilyLatin,species_clean,species_jetz,sociality,foraging_cat,elevation_cat,TipLabel,Full_Label,keycol,valuecol
Cotingidae,Cotingidae,Rupicola peruvianus,Rupicola peruvianus,0,ground-understory,lowland_iquitos,Rupicola_peruvianus,SP121234,Lice.Genus,Cotingacola
Cotingidae,Cotingidae,Rupicola peruvianus,Rupicola peruvianus,0,ground-understory,lowland_iquitos,Rupicola_peruvianus,SP121319,Lice.Genus,Cotingacola
Tyrannidae,Tyrannidae,Rhytipterna simplex,Rhytipterna simplex,0,ground-understory,lowland_iquitos,Rhytipterna_simplex,P116303,Lice.Genus,Menacanthus?
Tyrannidae,Tyrannidae,Rhytipterna simplex,Rhytipterna simplex,0,ground-understory,lowland_iquitos,Rhytipterna_simplex,P130002,Lice.Genus,Philopteridae
Thamnophilidae,Thamnophilidae,Rhegmatorhina melanosticta,Rhegmatorhina melanosticta,0,ground,lowland_iquitos,Rhegmatorhina_melanosticta,P116218,Lice.Genus,Myrsidea
Thamnophilidae,Thamnophilidae,Rhegmatorhina melanosticta,Rhegmatorhina melanosticta,0,ground,lowland_iquitos,Rhegmatorhina_melanosticta,P116220,Lice.Genus,Ricinus
Thamnophilidae,Thamnophilidae,Rhegmatorhina melanosticta,Rhegmatorhina melanosticta,0,ground,lowland_iquitos,Rhegmatorhina_melanosticta,P116222,Lice.Genus,Ricinus
Tyrannidae,Tyrannidae,Ramphotrigon ruficauda,Ramphotrigon ruficauda,0,ground-understory,lowland_iquitos,Ramphotrigon_ruficauda,V451,Lice.Genus,Myrsidea
Tyrannidae,Tyrannidae,Ramphotrigon ruficauda,Ramphotrigon ruficauda,0,ground-understory,lowland_iquitos,Ramphotrigon_ruficauda,V451,Lice.Genus2,Philopteridae
Ramphastidae,Ramphastidae,Ramphastos tucanus,Ramphastos tucanus,0,canopy,lowland_iquitos,Ramphastos_tucanus,P115997,Lice.Genus,Myrsidea
"Tyrannidae
",Tyrannidae,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus,1,understory,lowland_iquitos,Pyrrhomyias_cinnamomeus,W130753,Lice.Genus,Brueelia?
Icteridae,Icteridae,Psarocolius angustifrons,Psarocolius angustifrons,0,canopy,lowland_iquitos,Psarocolius_angustifrons,P110060,Lice.Genus,Myrsidea?
Furnariidae,Furnariidae,Premnoplex brunnescens,Premnoplex brunnescens,1,understory,lowland_iquitos,Premnoplex_brunnescens,SP120101,Lice.Genus,Rallicola
