"","species_taxonomy_SACC_2021","n"
"664","Vireo leucophrys",25
"665","Vireo olivaceus",7
"666","Vireolanius leucotis",11
"667","Willisornis poecilinotus",97
"668","Xenops minutus",84
"669","Xenops rutilans",16
"670","Xenops tenuirostris",9
"671","Xiphocolaptes promeropirhynchus",90
"672","Xiphorhynchus elegans",194
"673","Xiphorhynchus guttatus",197
"674","Xiphorhynchus obsoletus",4
"675","Xiphorhynchus ocellatus",23
"676","Xiphorhynchus triangularis",174
"677","Zentrygon frenata",78
"678","Zimmerius bolivianus",193
"679","Zimmerius cinereicapilla",2
"680","Zonotrichia capensis",28
