"","species_jetz"
"535","Ibycter americanus"
"536","Myrmothera campanisona"
"537","Penelope jacquacu"
"538","Trogon melanurus"
"539","Trogon viridis"
"540","Crypturellus soui"
"541","Vireo olivaceus"
"542","Campephilus rubricollis"
"543","Pionus tumultuosus"
"544","Pachyramphus versicolor"
"545","Ara militaris"
"546","Dromococcyx pavoninus"
"547","Delothraupis castaneoventris"
"548","Phyllomyias cinereiceps"
"549","Contopus sordidulus"
"550","Poecilotriccus pulchellus"
"551","Ortalis guttata"
"552","Buteo platypterus"
"553","Leptosittaca branickii"
"554","Spizaetus isidori"
"555","Schistocichla leucostigma"
"556","Phyllomyias burmeisteri"
"557","Aratinga mitrata"
"558","Notiochelidon flavipes"
"559","Thamnophilus unicolor"
"560","Zimmerius cinereicapilla"
"561","Touit huetii"
"562","Philydor erythropterum"
"563","Aratinga leucophthalma"
"564","Patagioenas subvinacea"
"565","Picumnus aurifrons"
"566","Myiornis ecaudatus"
"567","Amazona farinosa"
"568","Ara ararauna"
"569","Hemithraupis flavicollis"
"570","Elanoides forficatus"
"571","Scytalopus schulenbergi"
"572","Hemispingus trifasciatus"
"573","Lurocalis rufiventris"
"574","Claravis mondetoura"
"575","Nannopsittaca dachilleae"
"576","Piranga flava"
"577","Bolborhynchus lineola"
"578","Strix albitarsis"
"579","Primolius couloni"
"580","Myiarchus cephalotes"
"581","Vireolanius leucotis"
"582","Hemitriccus rufigularis"
"583","Pyrilia barrabandi"
"584","Micrastur mirandollei"
"585","Cymbilaimus lineatus"
"586","Herpetotheres cachinnans"
"587","Tinamus major"
"588","Hylophilus thoracicus"
"589","Crypturellus cinereus"
"590","Myiopagis gaimardii"
"591","Ornithion inerme"
"592","Crypturellus bartletti"
"593","Amazona ochrocephala"
"594","Pionites leucogaster"
"595","Orthopsittaca manilata"
"596","Euphonia chrysopasta"
"597","Myrmotherula sclateri"
"598","Pharomachrus pavoninus"
"599","Megascops watsonii"
"600","Aratinga weddellii"
"601","Querula purpurata"
"602","Celeus grammicus"
"603","Hylopezus berlepschi"
"604","Crypturellus atrocapillus"
"605","Crypturellus undulatus"
"606","Mitu tuberosum"
"607","Cyanocorax cyanomelas"
"608","Pipile cumanensis"
"609","Buteogallus urubitinga"
"610","Brotogeris sanctithomae"
"611","Accipiter bicolor"
"612","Patagioenas cayennensis"
"613","Tersina viridis"
"614","Pteroglossus castanotis"
"615","Chamaeza nobilis"
"616","Eubucco richardsoni"
"617","Clypicterus oseryi"
"618","Ara macao"
"619","Tityra semifasciata"
"620","Nyctiphrynus ocellatus"
"621","Crypturellus variegatus"
"622","Lurocalis semitorquatus"
"623","Lophostrix cristata"
"624","Daptrius ater"
"625","Ampelion rufaxilla"
"626","Tangara mexicana"
"627","Formicarius rufifrons"
"628","Harpyhaliaetus solitarius"
"629","Pachyramphus marginatus"
"630","Brotogeris cyanoptera"
"631","Jacamerops aureus"
"632","Micrastur semitorquatus"
"633","Icterus cayanensis"
"634","Pipra rubrocapilla"
"635","Megascops choliba"
"636","Micrastur buckleyi"
"637","Buteo polyosoma"
"638","Conirostrum ferrugineiventre"
"639","Pachyramphus minor"
"640","Hemitriccus iohannis"
"641",NA
"642","Coccyzus americanus"
"643","Coccyzus melacoryphus"
"644","Colaptes punctigula"
"645","Cranioleuca gutturata"
"646","Cyanerpes cyaneus"
"647","Dacnis lineata"
"648","Elaenia obscura"
"649","Elaenia parvirostris"
"650","Gymnoderus foetidus"
"651","Hemispingus parodii"
"652","Hemithraupis guira"
"653","Herpsilochmus rufimarginatus"
"654","Knipolegus signatus"
"655","Metopothrix aurantiaca"
"656","Myiozetetes cayanensis"
"657","Piculus leucolaemus"
"658","Piranga olivacea"
"659","Poecilotriccus latirostris"
"660","Tachyphonus cristatus"
"661","Tachyphonus luctuosus"
"662","Tangara callophrys"
"663","Tangara cyanotis"
"664","Tangara velia"
"665","Terenura callinota"
"666","Thripophaga fusciceps"
"667","Todirostrum chrysocrotaphum"
"668","Dendroplex picus"
"669","Tachornis squamata"
"670","Ochthornis littoralis"
"671","Dacnis flaviventer"
"672","Rhynchocyclus olivaceus"
"673","Chelidoptera tenebrosa"
"674","Pitangus sulphuratus"
"675","Leucopternis kuhli"
"676","Myiozetetes similis"
"677","Cinclus leucocephalus"
"678","Serpophaga hypoleuca"
"679","Aramides cajanea"
"680","Cistothorus platensis"
"681","Ochthoeca fumicolor"
"682","Atlapetes rufinucha"
"683","Myiobius atricaudus"
"684","Pyrrhyra roseifrons"
