Host.Family,BLFamilyLatin,species_clean,species_jetz,foraging_cat,elevation_cat,TipLabel,Full_Label,sociality,keycol,valuecol
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,canopy,high_montane_manu,Thraupis_cyanocephala,W130603,1,ectos_binomial2,_
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,canopy,high_montane_manu,Thraupis_cyanocephala,W130566,1,ectos_binomial3,_
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,canopy,high_montane_manu,Thraupis_cyanocephala,W120525,1,ectos_binomial3,_
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,canopy,high_montane_manu,Thraupis_cyanocephala,W130188,1,ectos_binomial3,_
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,canopy,high_montane_manu,Thraupis_cyanocephala,W130603,1,ectos_binomial3,_
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,midhigh,lowland_manu,Thamnophilus_schistaceus,P116120,1,ectos_binomial,Myrsidea_new sp?
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,midhigh,lowland_manu,Thamnophilus_schistaceus,P116123,1,ectos_binomial,Myrsidea_new sp?
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,midhigh,lowland_manu,Thamnophilus_schistaceus,P110296,1,ectos_binomial,Myrsidea_new sp?
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,midhigh,lowland_manu,Thamnophilus_schistaceus,P116120,1,ectos_binomial2,_
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,midhigh,lowland_manu,Thamnophilus_schistaceus,P116123,1,ectos_binomial2,_
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,midhigh,lowland_manu,Thamnophilus_schistaceus,P110296,1,ectos_binomial2,Philopteridae_new sp?
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,midhigh,lowland_manu,Thamnophilus_schistaceus,P116120,1,ectos_binomial3,_
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,midhigh,lowland_manu,Thamnophilus_schistaceus,P116123,1,ectos_binomial3,_
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,midhigh,lowland_manu,Thamnophilus_schistaceus,P110296,1,ectos_binomial3,_
Trochilidae,Trochilidae,Thalurania furcata,Thalurania furcata,other,lowland_manu,Thalurania_furcata,P116223,0,ectos_binomial,Ricinus_new sp?
Trochilidae,Trochilidae,Thalurania furcata,Thalurania furcata,other,lowland_manu,Thalurania_furcata,P116223,0,ectos_binomial2,_
Trochilidae,Trochilidae,Thalurania furcata,Thalurania furcata,other,lowland_manu,Thalurania_furcata,P116223,0,ectos_binomial3,_
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,lowland_manu,Terenotriccus_erythrurus,P115948,1,ectos_binomial,Myrsidea_new sp?
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,lowland_manu,Terenotriccus_erythrurus,P110100,1,ectos_binomial,Ricinus_new sp?
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,lowland_iquitos,Terenotriccus_erythrurus,V466,1,ectos_binomial,Myrsidea_new sp?
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,other_iquitos,Terenotriccus_erythrurus,4182,1,ectos_binomial,Myrsidea_new sp?
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,other_iquitos,Terenotriccus_erythrurus,4281,1,ectos_binomial,Myrsidea_new sp?
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,other_iquitos,Terenotriccus_erythrurus,968,1,ectos_binomial,Myrsidea_new sp?
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,lowland_manu,Terenotriccus_erythrurus,P115948,1,ectos_binomial2,_
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,lowland_manu,Terenotriccus_erythrurus,P110100,1,ectos_binomial2,_
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,lowland_iquitos,Terenotriccus_erythrurus,V466,1,ectos_binomial2,_
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,other_iquitos,Terenotriccus_erythrurus,4182,1,ectos_binomial2,_
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,other_iquitos,Terenotriccus_erythrurus,4281,1,ectos_binomial2,_
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,other_iquitos,Terenotriccus_erythrurus,968,1,ectos_binomial2,_
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,lowland_manu,Terenotriccus_erythrurus,P115948,1,ectos_binomial3,_
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,lowland_manu,Terenotriccus_erythrurus,P110100,1,ectos_binomial3,_
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,lowland_iquitos,Terenotriccus_erythrurus,V466,1,ectos_binomial3,_
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,other_iquitos,Terenotriccus_erythrurus,4182,1,ectos_binomial3,_
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,other_iquitos,Terenotriccus_erythrurus,4281,1,ectos_binomial3,_
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,midhigh,other_iquitos,Terenotriccus_erythrurus,968,1,ectos_binomial3,_
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,midhigh,lowland_manu,Tangara_schrankii,P110137,1,ectos_binomial,Myrsidea_saviti?
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,midhigh,lowland_manu,Tangara_schrankii,P110373,1,ectos_binomial,Myrsidea_saviti?
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,midhigh,lowland_manu,Tangara_schrankii,P110137,1,ectos_binomial2,_
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,midhigh,lowland_manu,Tangara_schrankii,P110373,1,ectos_binomial2,_
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,midhigh,lowland_manu,Tangara_schrankii,P110137,1,ectos_binomial3,_
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,midhigh,lowland_manu,Tangara_schrankii,P110373,1,ectos_binomial3,_
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,SP120666,1,ectos_binomial,Myrsidea_(various species?)
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,SP121081,1,ectos_binomial,Myrsidea_(various species?)
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,SP121138,1,ectos_binomial,Myrsidea_(various species?)
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,SP121308,1,ectos_binomial,Myrsidea_(various species?)
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,TL120104,1,ectos_binomial,Myrsidea_(various species?)
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,SP120666,1,ectos_binomial2,_
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,SP121081,1,ectos_binomial2,_
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,SP121138,1,ectos_binomial2,_
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,SP121308,1,ectos_binomial2,_
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,TL120104,1,ectos_binomial2,_
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,SP120666,1,ectos_binomial3,_
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,SP121081,1,ectos_binomial3,_
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,SP121138,1,ectos_binomial3,_
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,SP121308,1,ectos_binomial3,_
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,midhigh,montane_manu,Tangara_arthus,TL120104,1,ectos_binomial3,_
