"","species_taxonomy_SACC_2021","deg_weighted","species","species_jetz","TipLabel"
"119","Isleria_hauxwelli",1.42312775038582,"Isleria hauxwelli","Myrmotherula hauxwelli","Myrmotherula_hauxwelli"
"120","Ixothraupis_punctata",8.63507163385101,"Tangara punctata","Tangara punctata","Tangara_punctata"
"121","Ixothraupis_xanthogastra",6.72861810506157,"Tangara xanthogastra","Tangara xanthogastra","Tangara_xanthogastra"
"122","Kleinothraupis_atropileus",7.5555735713417,"Hemispingus atropileus","Hemispingus atropileus","Hemispingus_atropileus"
"123","Kleinothraupis_parodii",2.51333994795257,"Hemispingus parodii","Hemispingus parodii","Hemispingus_parodii"
"124","Knipolegus_signatus",3.63355690134275,"Knipolegus signatus","Knipolegus signatus","Knipolegus_signatus"
"125","Lanio_versicolor",9.57111504071967,"Lanio versicolor","Lanio versicolor","Lanio_versicolor"
"126","Lathrotriccus_euleri",3.5625814156731,"Lathrotriccus euleri","Lathrotriccus euleri","Lathrotriccus_euleri"
"127","Legatus_leucophaius",0.774869158829028,"Legatus leucophaius","Legatus leucophaius","Legatus_leucophaius"
"128","Lepidocolaptes_lacrymiger",6.92124369403686,"Lepidocolaptes lacrymiger","Lepidocolaptes lacrymiger","Lepidocolaptes_lacrymiger"
"129","Lepidothrix_coronata",0.853043121094592,"Lepidothrix coronata","Lepidothrix coronata","Lepidothrix_coronata"
"130","Leptopogon_amaurocephalus",8.55333896404461,"Leptopogon amaurocephalus","Leptopogon amaurocephalus","Leptopogon_amaurocephalus"
"131","Leptopogon_superciliaris",10.0194944280881,"Leptopogon superciliaris","Leptopogon superciliaris","Leptopogon_superciliaris"
"132","Loriotus_cristatus",3.02715903674582,"Tachyphonus cristatus","Tachyphonus cristatus","Tachyphonus_cristatus"
"133","Loriotus_luctuosus",5.43609900971716,"Tachyphonus luctuosus","Tachyphonus luctuosus","Tachyphonus_luctuosus"
"134","Loriotus_rufiventer",10.2023897916028,"Tachyphonus rufiventer","Tachyphonus rufiventer","Tachyphonus_rufiventer"
"135","Malacoptila_fulvogularis",1.49357309134875,"Malacoptila fulvogularis","Malacoptila fulvogularis","Malacoptila_fulvogularis"
"136","Margarornis_squamiger",7.20025782757361,"Margarornis squamiger","Margarornis squamiger","Margarornis_squamiger"
"137","Mecocerculus_leucophrys",8.23013200962099,"Mecocerculus leucophrys","Mecocerculus leucophrys","Mecocerculus_leucophrys"
"138","Mecocerculus_stictopterus",8.70661462046189,"Mecocerculus stictopterus","Mecocerculus stictopterus","Mecocerculus_stictopterus"
"139","Melanerpes_cruentatus",5.4859636649929,"Melanerpes cruentatus","Melanerpes cruentatus","Melanerpes_cruentatus"
"140","Metopothrix_aurantiaca",2.47218852416661,"Metopothrix aurantiaca","Metopothrix aurantiaca","Metopothrix_aurantiaca"
"141","Microrhopias_quixensis",4.39459843949314,"Microrhopias quixensis","Microrhopias quixensis","Microrhopias_quixensis"
"142","Microspingus_trifasciatus",3.23344825352156,"Hemispingus trifasciatus","Hemispingus trifasciatus","Hemispingus_trifasciatus"
"143","Mionectes_macconnelli",4.14069249425473,"Mionectes macconnelli","Mionectes macconnelli","Mionectes_macconnelli"
"144","Mionectes_oleagineus",4.77131975388302,"Mionectes oleagineus","Mionectes oleagineus","Mionectes_oleagineus"
"145","Mionectes_olivaceus",5.90174798065884,"Mionectes olivaceus","Mionectes olivaceus","Mionectes_olivaceus"
"146","Mionectes_striaticollis",8.99923513772773,"Mionectes striaticollis","Mionectes striaticollis","Mionectes_striaticollis"
"147","Monasa_morphoeus",7.76587134265116,"Monasa morphoeus","Monasa morphoeus","Monasa_morphoeus"
"148","Monasa_nigrifrons",3.14855825093152,"Monasa nigrifrons","Monasa nigrifrons","Monasa_nigrifrons"
"149","Myiarchus_cephalotes",1.09652911107722,"Myiarchus cephalotes","Myiarchus cephalotes","Myiarchus_cephalotes"
"150","Myiarchus_tuberculifer",2.37513323737692,"Myiarchus tuberculifer","Myiarchus tuberculifer","Myiarchus_tuberculifer"
"151","Myiobius_barbatus",2.079535398978,"Myiobius barbatus","Myiobius barbatus","Myiobius_barbatus"
"152","Myioborus_melanocephalus",8.18334682777212,"Myioborus melanocephalus","Myioborus melanocephalus","Myioborus_melanocephalus"
"153","Myioborus_miniatus",10.6746876167062,"Myioborus miniatus","Myioborus miniatus","Myioborus_miniatus"
"154","Myiodynastes_maculatus",2.14954778771009,"Myiodynastes maculatus","Myiodynastes maculatus","Myiodynastes_maculatus"
"155","Myiopagis_gaimardii",4.40971764384784,"Myiopagis gaimardii","Myiopagis gaimardii","Myiopagis_gaimardii"
"156","Myiophobus_fasciatus",1.54557838696473,"Myiophobus fasciatus","Myiophobus fasciatus","Myiophobus_fasciatus"
"157","Myiophobus_inornatus",1.82012555032768,"Myiophobus inornatus","Myiophobus inornatus","Myiophobus_inornatus"
"158","Myiothlypis_bivittata",3.77721996280387,"Basileuterus bivittatus","Basileuterus bivittatus","Basileuterus_bivittatus"
"159","Myiothlypis_chrysogaster",4.25011357862281,"Basileuterus chrysogaster","Basileuterus chrysogaster","Basileuterus_chrysogaster"
"160","Myiothlypis_coronata",5.30094906719948,"Basileuterus coronatus","Basileuterus coronatus","Basileuterus_coronatus"
"161","Myiothlypis_luteoviridis",5.3952585800892,"Basileuterus luteoviridis","Basileuterus luteoviridis","Basileuterus_luteoviridis"
"162","Myiothlypis_signata",3.94146347559923,"Basileuterus signatus","Basileuterus signatus","Basileuterus_signatus"
"163","Myiozetetes_cayanensis",1.2632540990522,"Myiozetetes cayanensis","Myiozetetes cayanensis","Myiozetetes_cayanensis"
"164","Myrmoborus_leucophrys",1.90773578384053,"Myrmoborus leucophrys","Myrmoborus leucophrys","Myrmoborus_leucophrys"
