Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Group,Mite.Group2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P121797,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P130400,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,other_iquitos,Willisornis_poecilinotus,1022,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,other_iquitos,Willisornis_poecilinotus,799,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,other_iquitos,Willisornis_poecilinotus,813,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,Mesostigmatid,0,ground,lowland_iquitos,Willisornis_poecilinotus,M582,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,Mesostigmatid,0,ground,other_iquitos,Willisornis_poecilinotus,1025,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Mesostigmatid,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M600,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Mesostigmatid,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V269,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Mesostigmatid,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V386,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Trombiculid,Mesostigmatid,0,ground,lowland_manu,Willisornis_poecilinotus,P121499,Mite.Genus2,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,Feather,,0,ground,lowland_iquitos,Turdus_albicollis,M581,Mite.Genus,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,Feather,,0,ground,lowland_manu,Turdus_albicollis,P110166,Mite.Genus,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,Feather,Trombiculid,0,ground,lowland_manu,Turdus_albicollis,P110334,Mite.Genus,
