#No,Collection,Sample_group,Sample No. #,Full_Label,comment,Host Genus,Host Species,Host Order,Host Family,New Association,Lice Genus,Lice Species,Female,Male,Nimph,Eggs,Total,BoxLocation1,Lice Genus2,Lice Species2,Female2,Male2,Nimph2,Eggs2,Total2,BoxLocation2,Lice Genus3,Lice Species3,Female3,Male3,Nimph3,Eggs3,Total,BoxLocation3,total_lice
79,JUM,,V721,V721,,Ceratopipra,erythrocephala,Passeriformes,Pipridae,No,Myrsidea,baileyae/edgarsmithi?,1,2,1,,4,L-02,Rallicola,new sp?,1,0,0,,1,L-02,Ricinus,invadens/pessimilis?,1,0,1,,1,L-02,6
80,JUM,,857,857,,Formicarius,colma,Passeriformes,Formicariidae,No,Formicaricola,analoides?,1,0,3,,4,L-02,,,,,,,,,,,,,,,,,4
81,JUM,,3678,3678,,Formicarius,colma,Passeriformes,Formicariidae,No,Formicaricola,analoides?,2,0,2,,4,L-02,,,,,,,,,,,,,,,,,4
82,JUM,,968,968,,Terenotriccus,erythrurus,Passeriformes,Tyrannidae,Yes,Myrsidea,new sp?,1,0,0,,1,L-02,,,,,,,,,,,,,,,,,1
83,JUM,,3808,3808,,Mionectes,oleagineus,Passeriformes,Tyrannidae,Yes,Rallicola,new sp?,1,0,1,,2,L-02,,,,,,,,,,,,,,,,,2
84,JUM,,2103,2103,,Mionectes,oleagineus,Passeriformes,Tyrannidae,No,Myrsidea,oleaginei?,4,0,5,,9,L-02,,,,,,,,,,,,,,,,,9
85,JUM,,4182,4182,,Terenotriccus,erythrurus,Passeriformes,Tyrannidae,Yes,Myrsidea,new sp?,0,0,1,,1,L-02,,,,,,,,,,,,,,,,,1
86,JUM,,4281,4281,,Terenotriccus,erythrurus,Passeriformes,Tyrannidae,Yes,Myrsidea,new sp?,0,0,1,,1,L-02,,,,,,,,,,,,,,,,,1
87,JUM,,1022,1022,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,Yes,Ricinus,new sp?,1,0,0,,1,L-02,Philopterus?,new sp?,0,0,1,,1,L-02,,,,,,,,,2
88,JUM,,V738,V738,,,,,,???,Philopterus,,0,0,1,,,L-02,,,,,,,,,,,,,,,,,0
89,JUM,,V739,V739,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,0,0,1,,1,L-02,,,,,,,,,,,,,,,,,1
90,JUM,,V744,V744,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,0,0,1,,1,L-02,,,,,,,,,,,,,,,,,1
