#No,Collection,Sample_group,Sample No. #,Full_Label,comment,Host Genus,Host Species,species_binomial,Host Order,host_family,New Association,Lice Genus,lice_genus_tidy,Lice Species,Female,Male,Nimph,Eggs,Total,BoxLocation1
293,JUM,V,1239,V1239,nymphs dark color,Cacicus,cela,Cacicus_cela,Passeriformes,Icteridae,,Bizarrifrons,Bizarrifrons,picturatus?,0,0,1,0,1,Maybe female?
293,JUM,V,1239,V1239,nymphs dark color,Cacicus,cela,Cacicus_cela,Passeriformes,Icteridae,,,,,,,,,,
23,JUM,,V304,V304,,Celeus,elegans,Celeus_elegans,Piciformes,Picidae,Yes,Picicola?,Picicola,new sp?,0,0,1,,1,L-01
23,JUM,,V304,V304,,Celeus,elegans,Celeus_elegans,Piciformes,Picidae,Yes,,,,,,,,0,
23,JUM,,V304,V304,,Celeus,elegans,Celeus_elegans,Piciformes,Picidae,Yes,,,,,,,,,
24,JUM,,V384,V384,,Celeus,elegans,Celeus_elegans,Piciformes,Picidae,Yes,Picicola?,Picicola,new sp?,1,2,0,,3,L-01
24,JUM,,V384,V384,,Celeus,elegans,Celeus_elegans,Piciformes,Picidae,Yes,,,,,,,,0,
24,JUM,,V384,V384,,Celeus,elegans,Celeus_elegans,Piciformes,Picidae,Yes,,,,,,,,,
73,JUM,,V682,V682,,Celeus,grammicus,Celeus_grammicus,Piciformes,Picidae,Yes,Picicola?,Picicola,new sp?,4,9,0,,13,L-02
73,JUM,,V682,V682,,Celeus,grammicus,Celeus_grammicus,Piciformes,Picidae,Yes,,,,,,,,,
73,JUM,,V682,V682,,Celeus,grammicus,Celeus_grammicus,Piciformes,Picidae,Yes,,,,,,,,,
267,JEJ,P11,34,P110034,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Philopteridae,Philopteridae,new sp?,1,1,2,,4,
267,JEJ,P11,34,P110034,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,,,,,,,,,
267,JEJ,P11,34,P110034,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,,,,,,,,,
284,JEJ,P11,122,P110122,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Philopterus-like,Philopteridae,new sp?,0,2,0,,2,
284,JEJ,P11,122,P110122,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Myrsidea,Myrsidea,"(baileyae, edgarsmithi)?",1,3,2,0,6,
284,JEJ,P11,122,P110122,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,,,,,,,,,
299,JEJ,P11,246,P110246,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Ricinus,Ricinus,invadens/pessimalis?,0,0,1,,1,
299,JEJ,P11,246,P110246,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Myrsidea,Myrsidea,(baileyae/edgarsmithi)?,3,1,0,0,4,
299,JEJ,P11,246,P110246,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,,,,,,,,,
301,JEJ,P11,278,P110278,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Ricinus,Ricinus,invadens/pessimalis?,1,0,0,,1,
301,JEJ,P11,278,P110278,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Myrsidea,Myrsidea,(baileyae/edgarsmithi/rekasii)?,2,1,2,,5,
301,JEJ,P11,278,P110278,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Philopterus-like,Philopteridae,new sp?,0,1,2,0,3,
309,JEJ,P11,357,P110357,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Myrsidea,Myrsidea,(baileyae/edgarsmithi)?,1,0,2,,3,
309,JEJ,P11,357,P110357,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Philopterus-like,Philopteridae,new sp?,1,0,0,0,1,
309,JEJ,P11,357,P110357,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,,,,,,,,,
310,JEJ,P11,360,P110360,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Myrsidea,Myrsidea,(baileyae/edgarsmithi)?,0,0,1,,1,
310,JEJ,P11,360,P110360,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Ricinus,Ricinus,invadens/pessimalis?,0,0,1,0,1,
310,JEJ,P11,360,P110360,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,,,,,,,,,
327,JEJ,P11,5955,P115955,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Ricinus,Ricinus,invadens/pessimalis?,0,0,1,,1,
327,JEJ,P11,5955,P115955,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Myrsidea,Myrsidea,(baileyae/edgarsmithi)?,1,2,3,0,6,
