#,Collection,Sample_Group,Sample No. #,Sample Full #,Host genus,Host species,Host Order,Host Family,Box Location,Mite Group,Mite Genus,Mite Species,Total,Mite Group2,Mite Genus2,Mite Species2,Total2,Comment,total_mites,,,,
119,JUM,M,M594,M594,Dendrocincla,merula,Passeriformes,"Furnariidae
",,Feather,,,1,,,,,,1,,,,
120,JUM,M,M598,M598,Dendrocincla,fuliginosa,Passeriformes,"Furnariidae
",,Feather,,,2,,,,,,2,,,,
121,JUM,M,M600,M600,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Mesostigmatid,,,1,,,,,,1,,,,
122,JUM,M,M605,M605,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
123,JUM,M,M607,M607,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
124,JUM,M,M608,M608,Percnostola,fortis,Passeriformes,Thamnophilidae,,Feather,,,8,,,,,,8,,,,
125,JUM,M,M612,M612,Percnostola,fortis,Passeriformes,Thamnophilidae,,Feather,,,5,,,,,,5,,,,
126,JUM,M,M614,M614,Percnostola,fortis,Passeriformes,Thamnophilidae,,Feather,,,20,,,,,,20,,,,
127,JUM,M,M620,M620,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,4,,,,,,4,,,,
128,JUM,M,M625,M625,Mionectes,oleagineus,Passeriformes,Tyrannidae,,Feather,,,2,,,,,,2,,,,
129,JUM,M,M626,M626,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,,Feather,,,11,,,,,,11,,,,
130,JUM,M,M628,M628,Pseudopipra,pipra,Passeriformes,Pipridae,,Feather,,,4,,,,,,4,,,,
131,JUM,M,M634,M634,Thamnomanes,caesius,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
132,JUM,V,V658,V658,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
133,JUM,V,V660,V660,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,2,Oribatida,Oribatida,,1,,3,,,,
134,JUM,V,V663,V663,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
135,JUM,V,V668,V668,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,3,,,,,,3,,,,
136,JUM,V,V669,V669,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,6,"Mesostigmatid, Trombiculid",,,2,,8,,,,
137,JUM,V,V672,V672,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
138,JUM,V,V673,V673,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
139,JUM,V,V677,V677,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,2,,,,,,2,,,,
140,JUM,V,V678,V678,Microcerculus,marginatus,Passeriformes,Troglodytidae,,Feather,,,5,,,,,,5,,,,
141,JUM,V,V680,V680,Xiphorhynchus,elegans,Passeriformes,Furnariidae,,Feather,,,1,Oribatida,Oribatida,,2,,3,,,,
142,JUM,V,V682,V682,Celeus,grammicus,Piciformes,Picidae,,Feather,,,55,,,,,,55,,,,
143,JUM,V,V685,V685,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
144,JUM,V,V687,V687,Dendrocolaptes,certhia,Passeriformes,"Furnariidae
",,Feather,,,4,Mesostigmatid,,,1,,5,,,,
145,JUM,V,V688,V688,Geotrygon,montana,Columbiformes,"Columbidae
",,Feather,,,5,,,,,,5,,,,
146,JUM,V,V690,V690,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,6,,,,,,6,,,,
147,JUM,V,V691,V691,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,Mesostigmatid,,,7,,8,,,,
148,JUM,V,V692,V692,Onychorhynchus,coronatus,Passeriformes,Tityridae,,Mesostigmatid,,,2,,,,,,2,,,,
149,JUM,V,V694,V694,Xiphorhynchus,elegans,Passeriformes,Furnariidae,,Feather,,,3,Mesostigmatid,,,1,,4,,,,
150,JUM,V,V695,V695,Ancistrops,strigilatus,Passeriformes,"Furnariidae
",,Feather,,,2,,,,,,2,,,,
151,JUM,V,V699,V699,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,not found in box,,,0,,,,,,0,,,,
152,JUM,V,V701,V701,Megastictus,margaritatus,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
153,JUM,V,V703,V703,Sclerurus,mexicanus,Passeriformes,"Furnariidae
",,Feather,,,235,,,,,,235,,,,
154,JUM,V,V711,V711,Platyrinchus,saturatus,Xiphorhynchus,elegans,,Mesostigmatid,,,1,,,,,,1,,,,
155,JUM,V,V712,V712,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,2,,,,,,2,,,,
156,JUM,V,V717,V717,Sclerurus,mexicanus,Passeriformes,"Furnariidae
",,Feather,,,3,,,,,,3,,,,
157,JUM,V,V720,V720,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Mesostigmatid,,,1,,,,,,1,,,,
158,JUM,V,V721,V721,Ceratopipra,erythrocephala,Passeriformes,Pipridae,,Feather,,,4,,,,,,4,,,,
