,sample,species,degree,w_degree,elevation
208,P116154,Thamnomanes_ardesiacus,58,4.939317054,600
209,P110331,Pipra_fasciicauda,25,2.789821312,432
210,P110332,Pipra_fasciicauda,25,2.789821312,432
211,P110185,Mionectes_oleagineus,60,4.53828808,438
212,SP110140,Premnoplex_brunnescens,5,0.429296484,1362
213,W120753,Kleinothraupis_atropileus,51,7.176187748,2742
214,SP120061,Thripadectes_melanorhynchus,44,5.119461852,1387
215,SP120778,Myiothlypis_coronata,36,4.772666239,1395
216,P110085,Isleria_hauxwelli,12,0.870708919,392
217,SP121407,Premnoplex_brunnescens,5,0.429296484,1449
218,P120922,Leptopogon_amaurocephalus,81,8.000399455,438
219,TU120049,Buthraupis_montana,43,5.940081596,2728
220,P120716,Pipra_fasciicauda,25,2.789821312,415
221,P120703,Glyphorynchus_spirurus,92,8.411775114,415
222,SP110095,Rhynchocyclus_fulvipectus,14,1.348078439,1395
223,P116233,Mionectes_olivaceus,47,3.847093343,600
224,P116078,Myrmotherula_axillaris,86,7.403907218,415
225,P110325,Thamnophilus_schistaceus,70,6.152354916,410
226,W130143,Kleinothraupis_atropileus,52,7.158911326,2650
227,P120956,Isleria_hauxwelli,18,1.42312775,438
228,P130281,Isleria_hauxwelli,17,1.089794417,410
229,P110088,Terenotriccus_erythrurus,6,0.247175926,392
230,P110391,Myrmotherula_axillaris,84,7.364299375,414
231,SP120669,Premnoplex_brunnescens,5,0.429296484,1307
232,P116259,Myrmotherula_axillaris,83,7.038964183,600
233,P116030,Myrmoborus_myotherinus,51,5.318256551,415
234,SP110159,Myiothlypis_bivittata,29,3.254110719,1337
235,SP110154,Rhynchocyclus_fulvipectus,14,1.348078439,1387
236,SP120998,Premnoplex_brunnescens,5,0.429296484,1362
237,W130377,Arremon_torquatus,10,0.555642463,2742
238,P120920,Arremon_taciturnus,19,2.083508787,438
239,SP121435,Basileuterus_tristriatus,60,7.59063163,1573
240,SP121038,Leptopogon_superciliaris,77,9.094071822,1337
241,SP110143,Myiothlypis_coronata,36,4.772666239,1362
242,TL120111,Premnoplex_brunnescens,4,0.338387393,1735
243,P121511,Myiobius_barbatus,15,1.272868732,398
244,W130298,Arremon_torquatus,10,0.555642463,2788
245,SP121361,Sphenopsis_melanotis,62,6.880121975,1449
246,P110360,Ceratopipra_chloromeros,5,0.204069659,414
247,P121118,Leptopogon_amaurocephalus,15,1.2757442,381
