Full_Label,species_jetz,date,year_seasonality
SP120674,Premnoplex_brunnescens,2012-07-25,207
SP120767,Leptopogon_superciliaris,2012-08-10,223
SP120769,Premnoplex_brunnescens,2012-08-10,223
SP120787,Tangara_arthus,2012-08-11,224
SP120792,Chlorospingus_flavigularis,2012-08-13,226
SP120804,Premnoplex_brunnescens,2012-08-15,228
SP120857,Premnoplex_brunnescens,2012-08-29,242
SP120861,Anabacerthia_striaticollis,2012-08-29,242
SP120880,Chlorospingus_flavigularis,2012-08-30,243
SP120885,Chlorospingus_flavigularis,2012-09-02,246
SP120889,Leptopogon_superciliaris,2012-09-02,246
SP120890,Premnoplex_brunnescens,2012-09-02,246
SP120938,Chlorospingus_flavigularis,2012-09-04,248
SP120993,Chlorospingus_flavigularis,2012-09-23,267
SP120998,Premnoplex_brunnescens,2012-09-24,268
SP121004,Premnoplex_brunnescens,2012-09-24,268
SP121023,Premnoplex_brunnescens,2012-09-27,271
SP121029,Rhynchocyclus_fulvipectus,2012-09-27,271
SP121038,Leptopogon_superciliaris,2012-09-27,271
SP121091,Leptopogon_superciliaris,2012-10-02,276
SP121104,Tangara_arthus,2012-10-03,277
P120085,Formicarius_rufipectus,NA,NA
P130040,Glyphorynchus_spirurus,NA,NA
SP121151,Anabacerthia_striaticollis,2012-10-18,292
SP121212,Basileuterus_tristriatus,2012-10-23,297
SP121244,Microcerculus_marginatus,2012-11-06,311
SP121267,Premnoplex_brunnescens,2012-11-07,312
SP121269,Premnoplex_brunnescens,2012-11-07,312
SP121270,Premnoplex_brunnescens,2012-11-07,312
SP121282,Premnoplex_brunnescens,2012-11-07,312
SP121308,Tangara_arthus,2012-11-10,315
P116215,Gymnopithys_salvini,2011-08-18,230
P120814,Habia_rubica,2012-07-27,209
SP121337,Chlorospingus_flavigularis,2012-11-11,316
SP121360,Myioborus_miniatus,2012-11-16,321
SP121362,Myioborus_miniatus,2012-11-16,321
W120643,Hemispingus_atropileus,2012-10-09,283
W120646,Hemispingus_atropileus,2012-10-09,283
W120709,Hemispingus_atropileus,2012-10-16,290
SP121433,Basileuterus_tristriatus,2012-11-25,330
SP121435,Basileuterus_tristriatus,2012-11-25,330
TL120016,Chlorospingus_ophthalmicus,2012-10-28,302
TL120020,Anabacerthia_striaticollis,2012-10-28,302
TL120033,Chlorospingus_ophthalmicus,2012-10-28,302
TL120034,Chlorospingus_ophthalmicus,2012-10-28,302
TL120047,Premnoplex_brunnescens,2012-10-29,303
TL120052,Chlorochrysa_calliparaea,2012-10-29,303
TL120054,Pyrrhomyias_cinnamomeus,2012-10-29,303
TL120058,Chlorospingus_ophthalmicus,2012-10-29,303
TL120075,Anabacerthia_striaticollis,2012-10-31,305
TL120082,Premnoplex_brunnescens,2012-10-31,305
TL120093,Chlorochrysa_calliparaea,2012-11-01,306
TL120094,Basileuterus_tristriatus,2012-11-01,306
TL120095,Basileuterus_tristriatus,2012-11-01,306
TL120104,Tangara_arthus,2012-11-01,306
TL120109,Anabacerthia_striaticollis,2012-11-02,307
TL120111,Premnoplex_brunnescens,2012-11-02,307
W120719,Hemispingus_atropileus,2012-10-16,290
TU120065,Chlorornis_riefferii,2012-10-16,290
TU120066,Chlorornis_riefferii,2012-10-16,290
VC120070,Hylophylax_naevius,2012-09-14,258
VC120099,Hylophylax_naevius,2012-09-15,259
W120249,Anisognathus_igniventris,2012-07-24,206
W120696,Hemispingus_atropileus,2012-10-15,289
W120753,Hemispingus_atropileus,2012-10-17,291
W120760,Hemispingus_atropileus,2012-10-17,291
W120921,Hemispingus_atropileus,2012-11-01,306
W120924,Hemispingus_atropileus,2012-11-01,306
W120946,Hemispingus_atropileus,2012-11-06,311
W120986,Hemispingus_atropileus,NA,NA
W120988,Hemispingus_atropileus,2012-11-11,316
W121001,Hemispingus_atropileus,2012-11-20,325
W120436,Anisognathus_igniventris,2012-09-01,245
W120445,Anisognathus_igniventris,2012-09-02,246
W121044,Hemispingus_atropileus,2012-11-21,326
W130080,Hemispingus_atropileus,2013-08-27,239
W130142,Hemispingus_atropileus,2013-08-31,243
W120523,Anisognathus_igniventris,2012-09-12,256
W130143,Hemispingus_atropileus,2013-08-31,243
W120645,Arremon_torquatus,2012-10-09,283
W130145,Hemispingus_atropileus,2013-08-31,243
W130286,Hemispingus_atropileus,2013-09-16,259
W120702,Anisognathus_igniventris,2012-10-15,289
W120703,Anisognathus_igniventris,2012-10-15,289
W130287,Hemispingus_atropileus,2013-09-16,259
W130369,Hemispingus_atropileus,NA,NA
W120750,Chlorornis_riefferii,2012-10-17,291
W130370,Hemispingus_atropileus,NA,NA
W130417,Hemispingus_atropileus,2013-10-02,275
W120755,Chlorornis_riefferii,2012-10-17,291
W130453,Hemispingus_atropileus,2013-10-12,285
W120764,Myioborus_melanocephalus,2012-10-18,292
W120781,Chlorornis_riefferii,2012-10-18,292
W120790,Myioborus_melanocephalus,2012-10-18,292
W120791,Chlorornis_riefferii,2012-10-18,292
W130497,Hemispingus_atropileus,2013-10-20,293
W120875,Anisognathus_igniventris,2012-10-25,299
W130488,Hemispingus_atropileus,2013-10-20,293
W130826,Hemispingus_atropileus,2013-11-20,324
W130824,Hemispingus_atropileus,2013-11-20,324
SP110010,Hemispingus_melanotis,2011-09-05,248
SP110011,Hemispingus_melanotis,2011-09-05,248
SP110028,Hemispingus_melanotis,2011-09-12,255
SP110124,Hemispingus_melanotis,2011-10-01,274
W121016,Chlorornis_riefferii,2012-11-20,325
W121048,Arremon_torquatus,2012-11-21,326
W121047,Arremon_torquatus,2012-11-21,326
SP120055,Hemispingus_melanotis,2012-06-25,177
W121090,Myioborus_melanocephalus,2012-11-24,329
SP121215,Hemispingus_melanotis,2012-10-23,297
W121041,Mecocerculus_stictopterus,2012-11-21,326
W121136,Myioborus_melanocephalus,2012-11-28,333
W121161,Myioborus_melanocephalus,2012-12-02,337
P130183,Hylophylax_naevius,2013-09-06,249
P130157,Thamnomanes_ardesiacus,2013-09-05,248
P130133,Chlorothraupis_carmioli,2013-09-03,246
P130050,Thamnomanes_ardesiacus,2013-08-28,240
P130049,Willisornis_poecilinotus,2013-08-27,239
P130047,Thamnomanes_ardesiacus,2013-08-27,239
P130041,Platyrinchus_platyrhynchos,2013-08-27,239
P130025,Myrmotherula_axillaris,2013-08-27,239
P130007,Willisornis_poecilinotus,2013-08-26,238
P130300,Corythopis_torquatus,2013-09-14,257
SP121361,Hemispingus_melanotis,2012-11-16,321
P130259,Myrmotherula_axillaris,2013-09-10,253
P130233,Lanio_versicolor,2013-09-07,250
P130253,Hylophylax_naevius,2013-09-10,253
P130254,Microcerculus_marginatus,2013-09-10,253
P130255,Microcerculus_marginatus,2013-09-10,253
P130187,Hylophylax_naevius,2013-09-06,249
P130189,Hylophylax_naevius,2013-09-06,249
P130216,Willisornis_poecilinotus,2013-09-07,250
P130301,Corythopis_torquatus,2013-09-14,257
P130303,Corythopis_torquatus,2013-09-14,257
P130328,Corythopis_torquatus,2013-09-14,257
P130330,Corythopis_torquatus,2013-09-16,259
P130352,Microcerculus_marginatus,2013-09-17,260
P130400,Willisornis_poecilinotus,2013-09-20,263
P130405,Microcerculus_marginatus,2013-09-20,263
SP13113,Hemispingus_melanotis,2013-09-22,265
P130442,Sclerurus_caudacutus,2013-09-24,267
P131053,Sclerurus_caudacutus,2013-11-15,319
P130628,Chlorothraupis_carmioli,2013-10-03,276
P131067,Sclerurus_caudacutus,2013-11-16,320
SP13006,Anabacerthia_striaticollis,2013-09-10,253
TL120056,Hemispingus_melanotis,2012-10-29,303
W130063,Pyrrhomyias_cinnamomeus,2013-08-26,238
TU120059,Hemispingus_melanotis,2012-10-16,290
W130118,Arremon_torquatus,2013-08-29,241
P120773,Hylophylax_naevius,2012-07-12,194
W120291,Iridosornis_jelskii,2012-08-23,236
W120335,Iridosornis_jelskii,2012-08-24,237
W130232,Myioborus_melanocephalus,2013-09-08,251
W130297,Arremon_torquatus,2013-09-18,261
W130233,Myioborus_melanocephalus,2013-09-08,251
W130253,Chlorornis_riefferii,2013-09-11,254
W130255,Chlorornis_riefferii,2013-09-11,254
W130256,Chlorornis_riefferii,2013-09-11,254
W130257,Myioborus_melanocephalus,2013-09-11,254
W130270,Anisognathus_igniventris,2013-09-15,258
W120338,Iridosornis_jelskii,2012-08-27,240
W120412,Iridosornis_jelskii,NA,NA
W130298,Arremon_torquatus,2013-09-18,261
W130330,Chlorornis_riefferii,2013-09-25,268
W130349,Arremon_torquatus,2013-09-25,268
W130351,Myioborus_melanocephalus,2013-09-28,271
W130353,Myioborus_melanocephalus,2013-09-28,271
W120455,Iridosornis_jelskii,2012-09-03,247
W120468,Iridosornis_jelskii,2012-09-05,249
W120474,Iridosornis_jelskii,2012-09-06,250
W120676,Iridosornis_jelskii,2012-10-14,288
W120878,Iridosornis_jelskii,2012-10-14,288
W130416,Myioborus_melanocephalus,2013-10-02,275
W120877,Iridosornis_jelskii,2012-10-25,299
W130429,Chlorornis_riefferii,2013-10-06,279
W130445,Anisognathus_igniventris,2013-10-09,282
W121223,Iridosornis_jelskii,2012-12-11,346
W130360,Iridosornis_jelskii,2013-09-28,271
W130637,Iridosornis_jelskii,2013-11-09,313
W130560,Arremon_torquatus,2013-10-31,304
W130561,Arremon_torquatus,2013-10-31,304
W130572,Arremon_torquatus,2013-11-02,306
W130633,Myioborus_melanocephalus,2013-11-09,313
W130676,Iridosornis_jelskii,2013-11-12,316
W130897,Iridosornis_jelskii,2013-11-27,331
W130898,Iridosornis_jelskii,2013-11-28,332
W130677,Chlorornis_riefferii,2013-11-12,316
W130700,Chlorornis_riefferii,2013-11-13,317
W130914,Iridosornis_jelskii,2013-12-01,335
P110129,Leptopogon_amaurocephalus,2011-10-07,280
W130920,Iridosornis_jelskii,2013-12-01,335
P110406,Leptopogon_amaurocephalus,2011-11-03,307
P120975,Lanio_versicolor,2012-08-25,238
P110258,Lepidothrix_coronata,2011-10-18,291
P115912,Leptopogon_amaurocephalus,NA,NA
P120812,Leptopogon_amaurocephalus,2012-07-26,208
P121118,Leptopogon_amaurocephalus,2012-09-18,262
W130939,Anisognathus_igniventris,2013-12-02,336
SP120065,Lophotriccus_pileatus,2012-06-29,181
P116216,Leptopogon_amaurocephalus,2011-08-19,231
P116225,Leptopogon_amaurocephalus,2011-08-19,231
P120659,Leptopogon_amaurocephalus,2012-06-26,178
P120679,Leptopogon_amaurocephalus,2012-06-29,181
P120736,Leptopogon_amaurocephalus,2012-07-02,184
P110233,Microcerculus_marginatus,2011-11-17,321
P120922,Leptopogon_amaurocephalus,2012-08-22,235
P121030,Leptopogon_amaurocephalus,2012-09-03,247
SP121141,Microcerculus_marginatus,2012-10-17,291
P121606,Leptopogon_amaurocephalus,2012-11-20,325
P121751,Leptopogon_amaurocephalus,2012-12-02,337
P130161,Leptopogon_amaurocephalus,2013-09-05,248
P130379,Leptopogon_amaurocephalus,2013-09-19,262
P110028,Pipra_fasciicauda,2011-09-28,271
P110138,Mionectes_macconnelli,2011-10-10,283
P110037,Habia_rubica,2011-09-28,271
P110041,Lepidothrix_coronata,2011-09-28,271
P110042,Momotus_momota,2011-09-28,271
P115959,Mionectes_macconnelli,2011-08-10,222
P110049,Habia_rubica,2011-09-29,272
P115960,Mionectes_macconnelli,2011-08-10,222
P110055,Mionectes_macconnelli,2011-09-29,272
P110057,Geotrygon_montana,2011-09-29,272
P110058,Geotrygon_montana,2011-09-29,272
P110059,Lepidothrix_coronata,2011-09-29,272
P110060,Psarocolius_angustifrons,2011-09-29,272
P110063,Lepidothrix_coronata,2011-09-30,273
P110067,Habia_rubica,2011-09-30,273
P110068,Momotus_momota,2011-09-30,273
P110069,Habia_rubica,2011-09-30,273
P110078,Mionectes_olivaceus,2011-10-01,274
P110083,Myrmoborus_leucophrys,2011-10-03,276
P110087,Habia_rubica,2011-10-03,276
P110090,Pipra_fasciicauda,2011-10-03,276
P110088,Terenotriccus_erythrurus,2011-10-03,276
P116004,Mionectes_macconnelli,2011-08-10,222
P110095,Ramphotrigon_fuscicauda,2011-10-05,278
P110098,Pipra_fasciicauda,2011-10-05,278
P110100,Terenotriccus_erythrurus,2011-10-05,278
P110102,Myrmoborus_myotherinus,2011-10-05,278
P110103,Pipra_fasciicauda,2011-10-05,278
P110106,Geotrygon_montana,2011-10-05,278
P110107,Geotrygon_montana,2011-10-05,278
P110108,Laniocera_hypopyrra,2011-10-05,278
P116019,Mionectes_macconnelli,2011-08-14,226
P110111,Automolus_ochrolaemus,2011-10-06,279
P110119,Xenops_tenuirostris,2011-10-07,280
P116094,Mionectes_macconnelli,2011-08-15,227
P110124,Pipra_fasciicauda,2011-10-07,280
P110133,Pipra_fasciicauda,2011-10-08,281
P110137,Tangara_schrankii,2011-10-10,283
P116112,Mionectes_macconnelli,2011-08-16,228
P110142,Automolus_ochrolaemus,2011-10-10,283
P115958,Mionectes_oleagineus,2011-08-09,221
P110156,Pteroglossus_azara,2011-10-11,284
P110157,Pteroglossus_azara,2011-10-11,284
P110166,Turdus_albicollis,2011-10-11,284
P110174,Synallaxis_cabanisi,2011-10-13,286
P110175,Lepidothrix_coronata,2011-10-13,286
P110179,Mionectes_oleagineus,2011-10-13,286
P110185,Mionectes_oleagineus,2011-10-13,286
P110190,Lepidothrix_coronata,2011-10-13,286
P110192,Mionectes_macconnelli,2011-10-13,286
P110193,Pipra_fasciicauda,2011-10-13,286
P110198,Mionectes_oleagineus,2011-10-13,286
P110200,Gymnopithys_salvini,2011-10-14,287
P110203,Mionectes_oleagineus,2011-10-14,287
P110207,Pteroglossus_beauharnaesii,2011-10-14,287
P110208,Pteroglossus_beauharnaesii,2011-10-14,287
P116007,Mionectes_oleagineus,2011-08-11,223
P110222,Mionectes_oleagineus,2011-10-15,288
P110226,Lepidothrix_coronata,2011-10-15,288
P110227,Platyrinchus_coronatus,2011-10-15,288
P110228,Pipra_fasciicauda,2011-10-15,288
P110232,Automolus_ochrolaemus,2011-10-17,290
P110243,Mionectes_olivaceus,2011-10-18,291
P116148,Mionectes_oleagineus,2011-08-18,230
P110256,Gymnopithys_salvini,2011-10-18,291
P116167,Mionectes_oleagineus,2011-08-20,232
