species_taxonomy_SACC_2021,deg_numeric,deg_weighted,species.x,species_jetz,TipLabel.x
Habia_rubica,19,2.014367205,Habia rubica,Habia_rubica,Habia_rubica
Hafferia_fortis,9,0.388662668,Myrmeciza fortis,Myrmeciza_fortis,Myrmeciza_fortis
Hemithraupis_flavicollis,54,7.626441497,Hemithraupis flavicollis,Hemithraupis_flavicollis,Hemithraupis_flavicollis
Hemithraupis_guira,57,5.537636017,Hemithraupis guira,Hemithraupis_guira,Hemithraupis_guira
Hemitriccus_granadensis,44,4.263433737,Hemitriccus granadensis,Hemitriccus_granadensis,Hemitriccus_granadensis
Hemitriccus_rufigularis,11,0.858290998,Hemitriccus rufigularis,Hemitriccus_rufigularis,Hemitriccus_rufigularis
Herpsilochmus_axillaris,25,2.605911244,Herpsilochmus axillaris,Herpsilochmus_axillaris,Herpsilochmus_axillaris
Herpsilochmus_rufimarginatus,29,2.753631974,Herpsilochmus rufimarginatus,Herpsilochmus_rufimarginatus,Herpsilochmus_rufimarginatus
Hypocnemis_subflava,15,1.719084689,Hypocnemis cantator,Hypocnemis_cantator,Hypocnemis_cantator
Icterus_cayanensis,19,5.485963665,Icterus cayanensis,Icterus_cayanensis,Icterus_cayanensis
Iridophanes_pulcherrimus,47,5.379500423,Iridophanes pulcherrimus,Iridophanes_pulcherrimus,Iridophanes_pulcherrimus
Iridosornis_analis,66,8.128682743,Iridosornis analis,Iridosornis_analis,Iridosornis_analis
Iridosornis_jelskii,23,2.685575813,Iridosornis jelskii,Iridosornis_jelskii,Iridosornis_jelskii
Isleria_hauxwelli,18,1.42312775,Isleria hauxwelli,Myrmotherula_hauxwelli,Myrmotherula_hauxwelli
Ixothraupis_punctata,79,8.635071634,Tangara punctata,Tangara_punctata,Tangara_punctata
Ixothraupis_xanthogastra,48,6.728618105,Tangara xanthogastra,Tangara_xanthogastra,Tangara_xanthogastra
Kleinothraupis_atropileus,58,7.555573571,Hemispingus atropileus,Hemispingus_atropileus,Hemispingus_atropileus
Kleinothraupis_parodii,18,2.513339948,Hemispingus parodii,Hemispingus_parodii,Hemispingus_parodii
Knipolegus_signatus,17,3.633556901,Knipolegus signatus,Knipolegus_signatus,Knipolegus_signatus
Lanio_versicolor,96,9.571115041,Lanio versicolor,Lanio_versicolor,Lanio_versicolor
