...1.x,species_taxonomy_SACC_2021.x,n.x,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,...1.y,species_taxonomy_SACC_2021.y,n.y,notes_taxonomy.x.y,missmatches,status,
438,Pachyramphus marginatus,5,Pachyramphus marginatus,Pachyramphus marginatus,NA,6238,Pachyramphus_marginatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Black-capped Becard,bow06238,LC,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
439,Pachyramphus minor,7,Pachyramphus minor,Pachyramphus minor,NA,6244,Pachyramphus_minor,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Pink-throated Becard,bow06244,LC,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
440,Pachyramphus polychopterus,4,Pachyramphus polychopterus,Pachyramphus polychopterus,NA,6235,Pachyramphus_polychopterus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",White-winged Becard,bow06235,LC,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
441,Pachyramphus versicolor,33,Pachyramphus versicolor,Pachyramphus versicolor,NA,6231,Pachyramphus_versicolor,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Barred Becard,bow06231,LC,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
442,Pachysylvia hypoxantha,88,Hylophilus hypoxanthus,Hylophilus hypoxanthus,REV_TAX,7814,Hylophilus_hypoxanthus,CC3,"Vireos, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies",Dusky-capped Greenlet,bow07814,LC,BL3,Vireonidae,Vireos and allies,141,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
443,Paraclaravis mondetoura,3,Claravis mondetoura,Claravis mondetoura,REV_TAX,3457,Claravis_mondetoura,Columbidae,"Pigeons, Doves","Pigeons, Doves",Maroon-chested Ground-dove,bow03457,LC,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
444,Patagioenas cayennensis,12,Patagioenas cayennensis,Patagioenas cayennensis,NA,3360,Patagioenas_cayennensis,Columbidae,"Pigeons, Doves","Pigeons, Doves",Pale-vented Pigeon,bow03360,LC,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
445,Patagioenas fasciata,63,Patagioenas fasciata,Patagioenas fasciata,NA,3355,Patagioenas_fasciata,Columbidae,"Pigeons, Doves","Pigeons, Doves",Band-tailed Pigeon,bow03355,LC,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
446,Patagioenas plumbea,325,Patagioenas plumbea,Patagioenas plumbea,NA,3364,Patagioenas_plumbea,Columbidae,"Pigeons, Doves","Pigeons, Doves",Plumbeous Pigeon,bow03364,LC,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
447,Patagioenas subvinacea,54,Patagioenas subvinacea,Patagioenas subvinacea,NA,3365,Patagioenas_subvinacea,Columbidae,"Pigeons, Doves","Pigeons, Doves",Ruddy Pigeon,bow03365,LC,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
448,Penelope jacquacu,74,Penelope jacquacu,Penelope jacquacu,NA,160,Penelope_jacquacu,Cracidae,"Curassows, Chacalacas, Guans","Curassows, Chacalacas, Guans",Spix's Guan,bow00160,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
